Day,CapacityRatio,PowerRatio,Status,ErrorIdentifier,ErrorMessage,WallTimeSeconds,BatteryCapacityKWh,BatteryPowerKW,InitialEnergyKWh,MinimumEnergyKWh,MaximumEnergyKWh,TerminalEnergyKWh,BaselineBillEUR,OptimizedBillEUR,SavingsEUR,SavingsPercent,BaselinePeakImportKW,PeakImportKW,DaytimePeakImportKW,ImportSpreadKW,TotalGridImportKWh,TotalBatteryThroughputKWh,EnergyBalanceResidualKW,TerminalSocErrorKWh,SimultaneousChargeDischargeKW,MinimumExitFlag
24-Aug-2020,0.2,0.2,ok,,,6.359923875,2,0.66,0.2,0.2,1.8,0.2,33.29714113,27.3447539757398,5.95238715426017,17.8765712378148,17.9361625,22.7752368421053,16.40303289,22.7752368421053,204.690712226548,66.1167914767517,1.28785870856518e-14,0,0,1
24-Aug-2020,0.2,0.4,ok,,,2.34908975,2,1.32,0.2,0.2,1.8,0.2,33.29714113,27.3377638965614,5.95937723343863,17.8975642688716,17.9361625,33.8165736842105,16.27521789,33.8165736842105,204.654680890577,66.6887885738997,5.55111512312578e-15,0,0,1
24-Aug-2020,0.2,0.6,ok,,,3.64200004166667,2,1.98,0.2,0.2,1.8,0.2,33.29714113,27.3348261144976,5.96231501550241,17.9063871946967,17.9361625,33.9480789473684,15.50950489,33.9480789473684,204.639537684062,66.6887887253337,5.32907051820075e-15,0,0,1
24-Aug-2020,0.2,0.8,ok,,,6.23224533333333,2,2.64,0.2,0.2,1.8,0.2,33.29714113,27.3348261144976,5.96231501550244,17.9063871946968,17.9361625,42.4262326315789,16.30007157,42.4262326315789,204.639537684062,66.6887887253494,8.77076189453874e-15,0,0,1
24-Aug-2020,0.2,1,ok,,,3.864821,2,3.3,0.2,0.2,1.8,0.2,33.29714113,27.3348261144976,5.9623150155024,17.9063871946967,17.9361625,63.4621010526316,16.56460857,63.4621010526316,204.639537684063,66.6887887253256,6.7168492989822e-15,0,0,1
24-Aug-2020,0.4,0.2,ok,,,10.1491670833333,4,0.66,0.4,0.4,3.6,0.4,33.29714113,24.6524060451098,8.64473508489021,25.9623943423224,17.9361625,24.0954968421053,13.5812,24.0954968421053,208.696496858115,127.999934790219,4.32986979603811e-15,0,0,1
24-Aug-2020,0.4,0.4,ok,,,10.898664625,4,1.32,0.4,0.4,3.6,0.4,33.29714113,24.6100037984296,8.6871373315704,26.0897393492545,17.9361625,34.0754663157895,13.83194,34.0754663157895,208.477946798199,129.117651443234,4.53438456373222e-14,0,0,1
24-Aug-2020,0.4,0.6,ok,,,3.59302875,4,1.98,0.4,0.4,3.6,0.4,33.29714113,24.5898205088013,8.7073206211987,26.1503550325935,17.9361625,41.70848,13.4145615700002,41.7084800000007,208.373909222796,129.556933483618,7.09280587479474e-13,0,0,1
24-Aug-2020,0.4,0.8,ok,,,8.04880008333333,4,2.64,0.4,0.4,3.6,0.4,33.29714113,24.5822594245157,8.71488170548432,26.1730629409274,17.9361625,50.992992631579,12.840225870311,50.992992631579,208.33493456153,130.688930610199,6.15063555642337e-14,0,0,1
24-Aug-2020,0.4,1,ok,,,7.81364558333333,4,3.3,0.4,0.4,3.6,0.4,33.29714113,24.57800209409,8.71913903591,26.1858488146727,17.9361625,66.5541210526316,12.57162557,66.5541210526316,208.312989559335,130.688930829651,5.22248910783674e-13,0,0,1
24-Aug-2020,0.6,0.2,ok,,,3.44633133333333,6,0.66,0.6,0.6,5.4,0.6,33.29714113,22.014301912572,11.282839217428,33.8853091722714,17.9361625,24.3980368421053,11.45354,24.3980368421053,212.98190886825,191.99994176845,2.55351295663786e-15,0,0,1
24-Aug-2020,0.6,0.4,ok,,,2.33127145833333,6,1.32,0.6,0.6,5.4,0.6,33.29714113,21.941040128648,11.356101001352,34.1053334189115,17.9361625,37.9902336842105,13.18837,37.9902336842105,212.604270860938,191.99994196224,1.64313007644523e-14,0,0,1
