Day,YearMonth,ExperimentId,CaseId,ScenarioId,PairId,CohortId,SensitivityRole,IsPrimary,PvBoundaryId,TransferLossFraction,QualityMode,CapacityRatio,PowerRatio,HouseCount,PvHomeCount,H4MaskAffected,H4AlignmentCategory,Strategy,RecordType,Status,ErrorIdentifier,ErrorMessage,WallTimeSeconds,ArtifactDirectory,PaperLoadOnlyBaselineBillEUR,PaperLoadOnlySavingsEUR,PaperLoadOnlySavingsPercent,PaperLoadOnlyPeakKW,PaperSavingsPercentDenominatorIsZero,PaperLoadOnlyDaytimePeakKW,PvSelfNoBatteryBaselineBillEUR,PvSelfNoBatterySavingsEUR,PvSelfNoBatterySavingsPercent,PvSelfNoBatteryPeakKW,EngineeringSavingsPercentDenominatorIsZero,PvSelfNoBatteryDaytimePeakKW,ObservedReleasePvSelfNoBatteryBaselineBillEUR,ObservedReleaseEngineeringSavingsEUR,ObservedReleaseEngineeringSavingsPercent,ObservedReleaseEngineeringSavingsPercentDenominatorIsZero,OptimizedBillEUR,ObservedBillEUR,OutcomePeakImportKW,OutcomeDaytimePeakImportKW,TotalGridImportKWh,TotalBatteryThroughputKWh,TotalCurtailedPvKWh,TotalSharedExportKWh,EnergyBalanceResidualKW,PvAllocationResidualKW,HomeBalanceResidualKW,BatteryDynamicsResidualKW,AggregateImportResidualKW,ChargeConversionResidualKW,DischargeConversionResidualKW,InitialSocErrorKWh,TerminalSocErrorKWh,SocBoundViolationKWh,ChargePowerViolationKW,DischargePowerViolationKW,AggregateImportNonnegativeViolationKW,SimultaneousChargeDischargeKW,SimultaneousChargeDischargeCount,MaximumLexicographicViolation,MinimumExitFlag,MaximumRelativeGap,ObjectiveStageCount,InputsPath,InputsSha256,SolutionPath,SolutionSha256,StagesPath,MetricsPath,MetricsSha256,ObservedProfilesPath,ObservedProfilesSha256
15-Jan-2020,01-Jan-2020,B2022_MONTHLY_V1,MONTHLY_20200115_DC_XI007_H20_SH_BM,DC_XI007_H20,DC_XI007,H20_PV10,PRIMARY,1,DC_SOURCE,0.07,release_literal,1,1,20,10,NaN,unavailable,SH_BM,optimized,ok,,"",1.03132575,,48.44094932,14.2523297270641,29.4220694002372,22.874905,0,22.874905,45.07088547,10.8822658770641,24.1447794148787,22.857254,0,NaN,NaN,NaN,NaN,NaN,34.1886195929359,NaN,67.1001626371191,10.29368,300.543613935559,225.641399852825,NaN,NaN,8.88178419700125e-16,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,0,NaN,NaN,1,NaN,NaN,,,,,,,,,
15-Jan-2020,01-Jan-2020,B2022_MONTHLY_V1,MONTHLY_20200115_DC_XI007_H20_VPP_BM,DC_XI007_H20,DC_XI007,H20_PV10,PRIMARY,1,DC_SOURCE,0.07,release_literal,1,1,20,10,NaN,unavailable,VPP_BM,optimized,ok,,"",1.52536891666667,,48.44094932,19.1800719118689,39.5947482060389,22.874905,0,22.874905,45.07088547,15.8100080618689,35.0780950873315,22.857254,0,NaN,NaN,NaN,NaN,NaN,29.2608774081311,NaN,84.5514542105263,8.43996556393533,307.001192119504,322.266795707504,NaN,NaN,3.77475828372553e-15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,0,NaN,NaN,1,NaN,NaN,,,,,,,,,
15-Jan-2020,01-Jan-2020,B2022_MONTHLY_V1,MONTHLY_20200115_DC_XI007_H20_PS,DC_XI007_H20,DC_XI007,H20_PV10,PRIMARY,1,DC_SOURCE,0.07,release_literal,1,1,20,10,NaN,unavailable,PS,optimized,ok,,"",3.75063183333333,,48.44094932,6.78390610128771,14.0044862797245,22.874905,0,22.874905,45.07088547,3.4138422512877,7.57438469576998,22.857254,0,NaN,NaN,NaN,NaN,NaN,41.6570432187123,NaN,12.2400586746915,12.2400586746915,291.520126822875,114.902549616797,NaN,NaN,2.69055611124003e-15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,0,NaN,NaN,1,NaN,NaN,,,,,,,,,
15-Jan-2020,01-Jan-2020,B2022_MONTHLY_V1,MONTHLY_20200115_DC_XI007_H20_PSDT,DC_XI007_H20,DC_XI007,H20_PV10,PRIMARY,1,DC_SOURCE,0.07,release_literal,1,1,20,10,NaN,unavailable,PSDT,optimized,ok,,"",2.25261670833333,,48.44094932,19.1800719118689,39.5947482060389,22.874905,0,22.874905,45.07088547,15.8100080618689,35.0780950873315,22.857254,0,NaN,NaN,NaN,NaN,NaN,29.2608774081311,NaN,84.5514542105263,1.07100930751757,307.001207736697,322.268175478917,NaN,NaN,3.66373598126302e-15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,0,NaN,NaN,1,NaN,NaN,,,,,,,,,
15-Jan-2020,01-Jan-2020,B2022_MONTHLY_V1,MONTHLY_20200115_DC_XI007_H20_LL,DC_XI007_H20,DC_XI007,H20_PV10,PRIMARY,1,DC_SOURCE,0.07,release_literal,1,1,20,10,NaN,unavailable,LL,optimized,ok,,"",2.63540970833333,,48.44094932,6.78373660929751,14.0041363856936,22.874905,0,22.874905,45.07088547,3.4136727592975,7.57400863927934,22.857254,0,NaN,NaN,NaN,NaN,NaN,41.6572127107025,NaN,12.2400595105747,12.2400595105747,291.521968743214,114.902450630833,NaN,NaN,3.03757019537443e-13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,0,NaN,NaN,1,NaN,NaN,,,,,,,,,
16-Jan-2020,01-Jan-2020,B2022_MONTHLY_V1,MONTHLY_20200116_DC_XI007_H20_SH_BM,DC_XI007_H20,DC_XI007,H20_PV10,PRIMARY,1,DC_SOURCE,0.07,release_literal,1,1,20,10,NaN,unavailable,SH_BM,optimized,ok,,"",0.9135505,,56.26595101,14.207206742903,25.2500961733998,30.69882,0,30.69882,53.933752839,11.875008571903,22.0177679965116,30.6840095,0,NaN,NaN,NaN,NaN,NaN,42.058744267097,NaN,76.3451168698061,18.4186895,360.392182587106,255.914357594883,NaN,NaN,2.72004641033163e-15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,0,NaN,NaN,1,NaN,NaN,,,,,,,,,
16-Jan-2020,01-Jan-2020,B2022_MONTHLY_V1,MONTHLY_20200116_DC_XI007_H20_VPP_BM,DC_XI007_H20,DC_XI007,H20_PV10,PRIMARY,1,DC_SOURCE,0.07,release_literal,1,1,20,10,NaN,unavailable,VPP_BM,optimized,ok,,"",3.41451870833333,,56.26595101,17.1138171775186,30.4159387166086,30.69882,0,30.69882,53.933752839,14.7816190065186,27.4069914078552,30.6840095,0,NaN,NaN,NaN,NaN,NaN,39.1521338324814,NaN,69.7450989473684,15.1974295,366.516860386773,320.13453448056,NaN,NaN,1.33226762955019e-14,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,0,NaN,NaN,1,NaN,NaN,,,,,,,,,
16-Jan-2020,01-Jan-2020,B2022_MONTHLY_V1,MONTHLY_20200116_DC_XI007_H20_PS,DC_XI007_H20,DC_XI007,H20_PV10,PRIMARY,1,DC_SOURCE,0.07,release_literal,1,1,20,10,NaN,unavailable,PS,optimized,ok,,"",2.7386175,,56.26595101,5.43953174788859,9.66753720544391,30.69882,0,30.69882,53.933752839,3.1073335768886,5.76138950716898,30.6840095,0,NaN,NaN,NaN,NaN,NaN,50.8264192621114,NaN,15.0973359515321,15.0973359515321,353.473768034481,131.310130289986,NaN,NaN,9.82547376793264e-15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,0,NaN,NaN,1,NaN,NaN,,,,,,,,,
16-Jan-2020,01-Jan-2020,B2022_MONTHLY_V1,MONTHLY_20200116_DC_XI007_H20_PSDT,DC_XI007_H20,DC_XI007,H20_PV10,PRIMARY,1,DC_SOURCE,0.07,release_literal,1,1,20,10,NaN,unavailable,PSDT,optimized,ok,,"",2.43317558333333,,56.26595101,17.0965318402674,30.3852179397605,30.69882,0,30.69882,53.933752839,14.7643336692674,27.3749422061192,30.6840095,0,NaN,NaN,NaN,NaN,NaN,39.1694191697326,NaN,90.5803442105263,4.69925188770757,366.605976225562,323.950421897712,NaN,NaN,4.44089209850063e-15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,0,NaN,NaN,1,NaN,NaN,,,,,,,,,
16-Jan-2020,01-Jan-2020,B2022_MONTHLY_V1,MONTHLY_20200116_DC_XI007_H20_LL,DC_XI007_H20,DC_XI007,H20_PV10,PRIMARY,1,DC_SOURCE,0.07,release_literal,1,1,20,10,NaN,unavailable,LL,optimized,ok,,"",1.9298625,,56.26595101,5.4394648283569,9.66741827111419,30.69882,0,30.69882,53.933752839,3.1072666573569,5.76126542989237,30.6840095,0,NaN,NaN,NaN,NaN,NaN,50.8264861816431,NaN,15.0973350233611,15.0973350233611,353.474506513943,131.31014592234,NaN,NaN,1.37667655053519e-14,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,0,NaN,NaN,1,NaN,NaN,,,,,,,,,
