ExperimentId,CaseId,Day,BudgetId,Strategy,ScenarioId,PairId,CohortId,PvBoundaryId,TransferLossFraction,SensitivityRole,IsPrimary,CapacityRatio,PowerRatio,QualityMode,BatteryCapacityKWh,BatteryPowerKW,SelfDischargeKW,HouseCount,PvHomeCount,H4MaskAffected,H4AlignmentCategory,Status,ErrorIdentifier,ErrorMessage,WallTimeSeconds,PaperLoadOnlyBaselineBillEUR,PaperLoadOnlyBaselinePeakImportKW,PaperLoadOnlyBaselineDaytimePeakImportKW,PaperLoadOnlySavingsEUR,PaperLoadOnlySavingsPercent,PaperSavingsPercentDenominatorIsZero,PvSelfNoBatteryBaselineBillEUR,PvSelfNoBatteryBaselinePeakImportKW,PvSelfNoBatteryBaselineDaytimePeakImportKW,PvSelfNoBatterySavingsEUR,PvSelfNoBatterySavingsPercent,EngineeringSavingsPercentDenominatorIsZero,OptimizedBillEUR,PeakImportKW,DaytimePeakImportKW,ImportSpreadKW,TotalGridImportKWh,TotalBatteryThroughputKWh,TotalCurtailedPvKWh,TotalSharedExportKWh,EnergyBalanceResidualKW,PvAllocationResidualKW,HomeBalanceResidualKW,BatteryDynamicsResidualKW,AggregateImportResidualKW,ChargeConversionResidualKW,DischargeConversionResidualKW,InitialSocErrorKWh,TerminalSocErrorKWh,SocBoundViolationKWh,ChargePowerViolationKW,DischargePowerViolationKW,AggregateImportNonnegativeViolationKW,SimultaneousChargeDischargeKW,SimultaneousChargeDischargeCount,MaximumLexicographicViolation,StageCount,MinimumStageExitFlag,MaximumStageRelativeGap,StageNames,StageValues,StageExitFlags,StageRelativeGaps,CaseDirectory,InputsPath,InputsSha256,SolutionPath,SolutionSha256,StagesPath,MetricsPath
FIGURE_7,figure7_c030_p100_DC_XI007_H20_VPP_BM,24-Aug-2020,GRID,VPP_BM,DC_XI007_H20,DC_XI007,H20_PV10,DC_SOURCE,0.07,PRIMARY,1,0.3,1,release_literal,3,3.3,0,20,10,1,same_date_plus60_core,ok,,,4.68966441666667,36.671172405,18.87078,18.87078,10.722015480592,29.2382674929969,0,33.29714113,17.9361625,17.9361625,7.34798420559196,22.0679132088358,0,25.949156924408,47.9241305263158,15.09275289,47.9241305263158,206.438855477958,98.688860151573,0,19.4409419242135,1.03805852802452e-13,1.03805852802452e-13,3.5527136788005e-15,2.88657986402541e-15,0,0,0,0,0,1.33226762955019e-15,0,4.44089209850063e-16,1.32949207198862e-14,0,0,0,2,1,0,billEUR|batteryThroughputKWh,25.949154329492632|98.688860151573024,1|1,0|0,,,,,,,
FIGURE_7,figure7_c040_p100_DC_XI007_H20_VPP_BM,24-Aug-2020,GRID,VPP_BM,DC_XI007_H20,DC_XI007,H20_PV10,DC_SOURCE,0.07,PRIMARY,1,0.4,1,release_literal,4,3.3,0,20,10,1,same_date_plus60_core,ok,,,7.81364558333333,36.671172405,18.87078,18.87078,12.09317031091,32.9773211975659,0,33.29714113,17.9361625,17.9361625,8.71913903591,26.1858488146727,0,24.57800209409,66.5541210526316,12.57162557,66.5541210526316,208.312989559335,130.688930829651,NaN,NaN,5.22248910783674e-13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,1,NaN,,,,,,,,,,,
FIGURE_7,figure7_c050_p100_DC_XI007_H20_VPP_BM,24-Aug-2020,GRID,VPP_BM,DC_XI007_H20,DC_XI007,H20_PV10,DC_SOURCE,0.07,PRIMARY,1,0.5,1,release_literal,5,3.3,0,20,10,1,same_date_plus60_core,ok,,,10.6054139583333,36.671172405,18.87078,18.87078,13.4525939826204,36.6843847642737,0,33.29714113,17.9361625,17.9361625,10.0785627076204,30.2685526912693,0,23.2185784223796,59.1611115789474,11.67688,59.1611115789474,210.247593530443,161.834570534627,0,27.2392957326866,3.21520587931445e-13,1.52544643583497e-13,1.46549439250521e-14,3.21520587931445e-13,0,0,0,0,0,8.88178419700125e-16,0,4.44089209850063e-16,9.30366894635881e-14,0,0,0,2,1,0,billEUR|batteryThroughputKWh,23.218576100522085|161.83457053462681,1|1,0|0,,,,,,,
FIGURE_7,figure7_c060_p100_DC_XI007_H20_VPP_BM,24-Aug-2020,GRID,VPP_BM,DC_XI007_H20,DC_XI007,H20_PV10,DC_SOURCE,0.07,PRIMARY,1,0.6,1,release_literal,6,3.3,0,20,10,1,same_date_plus60_core,ok,,,5.46159841666667,36.671172405,18.87078,18.87078,14.7927469194535,40.3388982388699,0,33.29714113,17.9361625,17.9361625,11.4187156444535,34.2933815244741,0,21.8784254855465,70.3119643451221,9.79256,70.3119643451221,212.281515014945,191.999942127866,NaN,NaN,8.88178419700125e-15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,1,NaN,,,,,,,,,,,
FIGURE_7,figure7_c070_p100_DC_XI007_H20_VPP_BM,24-Aug-2020,GRID,VPP_BM,DC_XI007_H20,DC_XI007,H20_PV10,DC_SOURCE,0.07,PRIMARY,1,0.7,1,release_literal,7,3.3,0,20,10,1,same_date_plus60_core,ok,,,4.12405170833333,36.671172405,18.87078,18.87078,16.1078371555151,43.9250672916006,0,33.29714113,17.9361625,17.9361625,12.7338058805151,38.242940529937,0,20.5633352494849,71.2902578947369,9.30074319,71.2902578947369,214.444642822276,223.999945606502,0,40.9350931630884,7.45237205279636e-15,2.88657986402541e-15,8.88178419700125e-16,7.45237205279636e-15,0,0,0,0,0,8.88178419700125e-16,0,4.44089209850063e-16,1.77635683940025e-15,0,0,0,2,1,0,billEUR|batteryThroughputKWh,20.563333193151575|223.99994560650185,1|1,0|0,,,,,,,
FIGURE_7,figure7_c080_p100_DC_XI007_H20_VPP_BM,24-Aug-2020,GRID,VPP_BM,DC_XI007_H20,DC_XI007,H20_PV10,DC_SOURCE,0.07,PRIMARY,1,0.8,1,release_literal,8,3.3,0,20,10,1,same_date_plus60_core,ok,,,4.2179395,36.671172405,18.87078,18.87078,17.0283006028078,46.4351137038805,0,33.29714113,17.9361625,17.9361625,13.6542693278078,41.0073323547456,0,19.6428718021922,74.0063747368421,6.32827124036339e-15,74.0063747368421,215.855734090024,246.114124471079,NaN,NaN,1.33226762955019e-14,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,1,NaN,,,,,,,,,,,
FIGURE_7,figure7_c090_p100_DC_XI007_H20_VPP_BM,24-Aug-2020,GRID,VPP_BM,DC_XI007_H20,DC_XI007,H20_PV10,DC_SOURCE,0.07,PRIMARY,1,0.9,1,release_literal,9,3.3,0,20,10,1,same_date_plus60_core,ok,,,4.40366108333333,36.671172405,18.87078,18.87078,17.0727514441754,46.5563283759304,0,33.29714113,17.9361625,17.9361625,13.6987201691754,41.1408298258769,0,19.5984209608246,70.0931336842105,2.92321722383804e-13,70.0931336842105,215.367263305765,245.514421486204,0,38.4988936188796,3.39284156325448e-13,1.11022302462516e-16,6.96664947952286e-15,3.39284156325448e-13,0,0,0,0,0,1.11022302462516e-16,0,8.88178419700125e-16,1.70349845340922e-15,0,0,4.61852778244065e-14,2,1,0,billEUR|batteryThroughputKWh,19.598419000982695|245.51442148620441,1|1,0|0,,,,,,,
FIGURE_7,figure7_c100_p100_DC_XI007_H20_VPP_BM,24-Aug-2020,GRID,VPP_BM,DC_XI007_H20,DC_XI007,H20_PV10,DC_SOURCE,0.07,PRIMARY,1,1,1,release_literal,10,3.3,0,20,10,1,same_date_plus60_core,ok,,,4.539398375,36.671172405,18.87078,18.87078,17.113127226368,46.666430615768,0,33.29714113,17.9361625,17.9361625,13.739095951368,41.2620888313723,0,19.558045178632,75.5007842105263,6.7168492989822e-15,75.5007842105263,214.92357339156,244.671414653528,NaN,NaN,3.17523785042795e-14,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,1,NaN,,,,,,,,,,,
TABLE_I,tablei_nominal_DC_XI007_H20_SH_BM,24-Aug-2020,NOMINAL,SH_BM,DC_XI007_H20,DC_XI007,H20_PV10,DC_SOURCE,0.07,PRIMARY,1,1,1,release_literal,10,3.3,0,20,10,1,same_date_plus60_core,ok,,,1.36633429166667,36.671172405,18.87078,18.87078,14.0818443467969,38.4003112615972,0,33.29714113,17.9361625,17.9361625,10.7078130717969,32.1583556678067,0,22.5893280582031,55.6817390581717,10.0112,55.6817390581717,213.7315618841,211.456323213822,3.6126103860772,0,1.77635683940025e-15,1.11022302462516e-16,2.22044604925031e-16,1.77635683940025e-15,0,0,0,0,0,1.11022302462516e-16,0,4.44089209850063e-16,0,0,0,0,2,1,0,billEUR|batteryThroughputKWh,22.589325799270497|211.45632321382175,1|1,0|0,/Users/guichenxiang/Desktop/電力專案/StoreNet/results/b2022_ir_v1_formal/b2022_sensitivity_v1_20200824/cases/tablei_nominal_DC_XI007_H20_SH_BM,/Users/guichenxiang/Desktop/電力專案/StoreNet/results/b2022_ir_v1_formal/b2022_sensitivity_v1_20200824/cases/tablei_nominal_DC_XI007_H20_SH_BM/inputs_6ccfdb86dcdb675c9ae555a908a1422071eb559098d4a2d6e70d74d138b0a6cb.mat,6ccfdb86dcdb675c9ae555a908a1422071eb559098d4a2d6e70d74d138b0a6cb,/Users/guichenxiang/Desktop/電力專案/StoreNet/results/b2022_ir_v1_formal/b2022_sensitivity_v1_20200824/cases/tablei_nominal_DC_XI007_H20_SH_BM/solution_93d9d9424a09347f8daec451bc82e0bb59817763fd2687fca6625a2f9053cce0.mat,93d9d9424a09347f8daec451bc82e0bb59817763fd2687fca6625a2f9053cce0,/Users/guichenxiang/Desktop/電力專案/StoreNet/results/b2022_ir_v1_formal/b2022_sensitivity_v1_20200824/cases/tablei_nominal_DC_XI007_H20_SH_BM/stages.csv,/Users/guichenxiang/Desktop/電力專案/StoreNet/results/b2022_ir_v1_formal/b2022_sensitivity_v1_20200824/cases/tablei_nominal_DC_XI007_H20_SH_BM/metrics.json
TABLE_I,tablei_power_20_DC_XI007_H20_SH_BM,24-Aug-2020,POWER_20,SH_BM,DC_XI007_H20,DC_XI007,H20_PV10,DC_SOURCE,0.07,PRIMARY,1,1,0.2,release_literal,10,0.66,0,20,10,1,same_date_plus60_core,ok,,,0.778447541666667,36.671172405,18.87078,18.87078,11.4472791548596,31.2160162986738,0,33.29714113,17.9361625,17.9361625,8.07324787985958,24.2460691995739,0,25.2238932501404,18.7939612409972,10.634404,17.9686312409972,211.896907303741,157.101519539872,4.54626303995665,0,1.66533453693773e-15,1.11022302462516e-16,2.22044604925031e-16,1.66533453693773e-15,0,0,0,0,0,2.22044604925031e-16,1.11022302462516e-16,6.66133814775094e-16,0,0,0,0,2,1,5.42739042505391e-16,billEUR|batteryThroughputKWh,25.223890727751382|157.10151953987182,1|1,0|5.4273904250539097e-16,/Users/guichenxiang/Desktop/電力專案/StoreNet/results/b2022_ir_v1_formal/b2022_sensitivity_v1_20200824/cases/tablei_power_20_DC_XI007_H20_SH_BM,/Users/guichenxiang/Desktop/電力專案/StoreNet/results/b2022_ir_v1_formal/b2022_sensitivity_v1_20200824/cases/tablei_power_20_DC_XI007_H20_SH_BM/inputs_3948fc8a417f442548d02d0499361eb3d47d92c630621f6351c30679b858fe7f.mat,3948fc8a417f442548d02d0499361eb3d47d92c630621f6351c30679b858fe7f,/Users/guichenxiang/Desktop/電力專案/StoreNet/results/b2022_ir_v1_formal/b2022_sensitivity_v1_20200824/cases/tablei_power_20_DC_XI007_H20_SH_BM/solution_e0ebc3650116d87f7bd50a515894d705ebf89ac0e8b6998ff1c1037e41262ea8.mat,e0ebc3650116d87f7bd50a515894d705ebf89ac0e8b6998ff1c1037e41262ea8,/Users/guichenxiang/Desktop/電力專案/StoreNet/results/b2022_ir_v1_formal/b2022_sensitivity_v1_20200824/cases/tablei_power_20_DC_XI007_H20_SH_BM/stages.csv,/Users/guichenxiang/Desktop/電力專案/StoreNet/results/b2022_ir_v1_formal/b2022_sensitivity_v1_20200824/cases/tablei_power_20_DC_XI007_H20_SH_BM/metrics.json
