Hour,SourceImportKW,SourceKvar,NetCustomerKW,LossKW,LineLossKW,TransformerKVA,TransformerLoadingPercent,BalanceResidualKW,VUFSequenceDifference,Converged,Iterations,Season,Date,Case
0,29.67427634926063,9.8209628239233,29.443399999999997,0.23087632080974752,0.22047629341325709,31.25722296752455,8.930635133578443,2.8450885647401947e-08,1.6792123247455493e-14,True,5,winter,2020-01-19,POOL_FLAT
1,43.174854842053,14.33537966153438,42.63382,0.5410348410809758,0.5192744415561238,45.49254005518851,12.997868587196717,9.72025571144286e-10,2.525757381022231e-14,True,6,winter,2020-01-19,POOL_FLAT
2,42.218191249856844,13.996833275162958,41.68076,0.5374312531740922,0.5164377900014888,44.4779385104852,12.707982431567201,3.3172479207976835e-09,2.3064883336587627e-14,True,5,winter,2020-01-19,POOL_FLAT
3,38.006212844352106,12.586888904511365,37.56146499999999,0.44474781482127534,0.4275645955932444,40.0362584049168,11.438930972833372,2.9530839551483723e-08,2.4452662117369073e-14,True,5,winter,2020-01-19,POOL_FLAT
4,16.694777849302497,5.508127352947945,16.624300000000005,0.07047784414847927,0.06726440289403204,17.579962297282076,5.022846370652022,5.1540125223237254e-09,2.1822821327788233e-14,True,5,winter,2020-01-19,POOL_FLAT
5,15.512183136468371,5.116735880586034,15.450690000000002,0.06149313316813942,0.05869083969550527,16.33428332468775,4.6669380927679285,3.3002300961482156e-09,1.5931700403370996e-14,True,5,winter,2020-01-19,POOL_FLAT
6,28.974406778952986,9.584815377217904,28.728880000000004,0.24552677852833274,0.23514547196486843,30.518599804179,8.719599944051144,4.2464928795560297e-10,2.1149748619109232e-14,True,6,winter,2020-01-19,POOL_FLAT
7,27.365300007165853,9.100948400448654,27.17525,0.19004999974309195,0.18128134564335924,28.838982406985743,8.239709259138783,7.4227629043299714e-09,2.157996004115148e-14,True,6,winter,2020-01-19,POOL_FLAT
8,37.91091906594604,12.604836308368505,37.4967,0.41421908342435415,0.3966934846869811,39.95146659117521,11.414704740335775,1.7478311631347054e-08,2.3842039453825237e-14,True,6,winter,2020-01-19,POOL_FLAT
9,35.59598241324434,14.430939313083707,35.21639,0.3795923338163552,0.3640579302692433,38.40997231738616,10.974277804967475,7.942799079563301e-08,2.195466031196247e-14,True,5,winter,2020-01-19,POOL_FLAT
10,5.78012600806225,11.516243838236202,5.703449999999998,0.0766760059980871,0.07478574526847936,12.885407591954284,3.6815450262726523,2.0641641729213234e-09,2.4265311981963578e-14,True,5,winter,2020-01-19,POOL_FLAT
11,10.757170008603937,16.155724756998072,10.485529999999997,0.2716400522300583,0.2645749684916559,19.40938301487775,5.545538004250786,4.362611799590965e-08,2.7200464103316335e-14,True,6,winter,2020-01-19,POOL_FLAT
12,17.099210026167242,16.22169459529489,16.90992,0.18929001569958623,0.18325706482356108,23.5696066802565,6.734173337216142,1.0467656103019252e-08,2.4855117963795692e-14,True,6,winter,2020-01-19,POOL_FLAT
13,51.56286469508979,24.030626893269233,50.75493000000001,0.8079347068280457,0.7739156817599978,56.88760888320069,16.25360253805734,1.173826136291467e-08,2.438327317833e-14,True,6,winter,2020-01-19,POOL_FLAT
14,24.442069772908983,15.775182240738662,24.20775,0.23431976453339856,0.22520139175322806,29.090739927219403,8.311639979205543,8.375583754327565e-09,2.478572902475662e-14,True,6,winter,2020-01-19,POOL_FLAT
15,53.67187892213089,21.32860244196499,52.748045,0.9238339795277523,0.8885811815930078,57.754479212954045,16.501279775129728,5.7396863151204514e-08,2.66869859544272e-14,True,6,winter,2020-01-19,POOL_FLAT
16,54.61681248347504,18.613371667038486,53.718149999999994,0.8986624911518154,0.8628851146563308,57.701419485752815,16.486119853072232,7.676772439957347e-09,2.7283730830163222e-14,True,6,winter,2020-01-19,POOL_FLAT
17,78.36373223425282,26.209016319488075,76.36945000000001,1.9942823116898667,1.9157496851793,82.63042457906931,23.608692736876947,7.743705920937316e-08,2.8699265186560297e-14,True,7,winter,2020-01-19,POOL_FLAT
18,66.07236624603217,22.0514771582133,64.86645,1.2059162352815525,1.1551484123336417,69.6550445137258,19.901441289635944,1.0750621948218964e-08,2.968458812091512e-14,True,7,winter,2020-01-19,POOL_FLAT
19,54.037403930930964,17.981491232740343,53.233270000000005,0.8041339324367731,0.7703614359563559,56.95063696349894,16.271610560999697,1.5058139180013086e-09,2.1441182163073336e-14,True,6,winter,2020-01-19,POOL_FLAT
20,45.72524707470466,15.195926333426563,45.151430000000005,0.5738170664989138,0.5495629496150816,48.18417164561697,13.766906184461991,8.205742862976706e-09,1.2531642390456454e-14,True,6,winter,2020-01-19,POOL_FLAT
21,49.19331501248066,16.356813539042356,48.521629999999995,0.6716850088786295,0.6436021014376166,51.841369494532024,14.811819855580579,3.6020360028032883e-09,2.463307335887066e-14,True,6,winter,2020-01-19,POOL_FLAT
22,54.1984363832232,18.034871398417216,53.35084,0.8475963789404877,0.8130664947033062,57.120286175267076,16.320081764362023,4.28271773600386e-09,2.2995494397548555e-14,True,6,winter,2020-01-19,POOL_FLAT
23,39.07861550003584,12.959213316251635,38.655945,0.4226704902200541,0.4049598109362355,41.17134196472193,11.763240561349123,9.815780965816145e-09,2.4445723223465166e-14,True,6,winter,2020-01-19,POOL_FLAT
0,23.222024734336912,7.678094501158298,23.067434999999996,0.1545897166269831,0.14831432899240898,24.458445738262636,6.9881273537893245,1.770993315886038e-08,1.8984813721090177e-14,True,5,summer,2020-06-21,POOL_TOU
1,19.267326538668364,6.36577563575103,19.164109999999997,0.1032165269458367,0.09890758838458821,20.291697104796373,5.797627744227535,1.1722529849600427e-08,2.648575803121389e-14,True,5,summer,2020-06-21,POOL_TOU
2,14.839420824503751,4.900153132778179,14.778340000000002,0.06108080994287648,0.05848788698067355,15.627536950248917,4.465010557213976,1.4560872819979753e-08,1.7631729409828267e-14,True,5,summer,2020-06-21,POOL_TOU
3,11.169043251183401,3.6879017765186193,11.13462,0.034423238043879194,0.03296063283004184,11.762148896365087,3.3606139703900246,1.3139522310468e-08,1.7753160053146644e-14,True,5,summer,2020-06-21,POOL_TOU
