Hour,Customer,Bus,ConnectedPhase,ConnectedVoltagePU,VUFPercent,VARealV,VAImagV,VAPU,VBRealV,VBImagV,VBPU,VCRealV,VCImagV,VCPU,Season,Date,Case
0,1,34,1,1.0458915631487715,0.04955048610595394,217.15362018750568,-126.2761504457937,1.0458915631487715,-218.03652598124424,-124.80721286678586,1.0460192318758355,0.6432346162449547,251.66728016561635,1.047841201025368,winter,2020-01-19,POOL_FLAT
0,2,47,2,1.0446570782191,0.06315085820473768,217.04249149960842,-126.12440215209104,1.045174018298235,-217.7393102429894,-124.66788775438113,1.0446570782191,0.6450237849504457,251.52914149865,1.0472660700833858,winter,2020-01-19,POOL_FLAT
0,3,70,1,1.0458103955635283,0.04897719859640899,217.13919305526002,-126.26217979994168,1.0458103955635283,-218.0367159482412,-124.80699895719371,1.0460194758654124,0.6430446492508057,251.6674940752132,1.0478420896317036,winter,2020-01-19,POOL_FLAT
0,4,73,1,1.0432195972773375,0.06832336100276586,216.71112733098076,-125.76027491595023,1.0432195972773375,-217.36757948878383,-124.46929811452404,1.0429030850026768,0.620656131019377,251.29379727482802,1.0462859424401956,winter,2020-01-19,POOL_FLAT
0,5,74,1,1.0433077624941405,0.06853829529927732,216.72681556786395,-125.77542929345483,1.0433077624941405,-217.36737287624476,-124.46953019011991,1.042902818638344,0.6208627435584692,251.29356519923218,1.046284978302009,winter,2020-01-19,POOL_FLAT
0,6,83,2,1.044589420681316,0.06529824115448744,217.04272507561114,-126.12435420657286,1.0451747588511144,-217.7232130751337,-124.66329828681228,1.044589420681316,0.6452573609531951,251.529189444168,1.0472662722022703,winter,2020-01-19,POOL_FLAT
0,7,178,2,1.0413156168855662,0.08643130753002792,216.63719699485694,-125.65115114877177,1.0427253454240653,-217.01079398387037,-124.32508440941237,1.0413156168855662,0.6343466207701646,251.12328465119543,1.0455761434650508,winter,2020-01-19,POOL_FLAT
0,8,208,3,1.0453662283470282,0.07347895408926705,216.63667233224888,-125.65043292096924,1.0427219554380067,-217.06843238872182,-124.33698302445768,1.0415484775028985,0.6266309899881984,251.07288693288038,1.0453662283470282,winter,2020-01-19,POOL_FLAT
0,9,225,1,1.0424990992320868,0.07789062283592134,216.59956975779758,-125.6077180825122,1.0424990992320868,-217.05605773283412,-124.32374281673441,1.0414763697957503,0.6434887358709108,251.12497177815874,1.045583264779771,winter,2020-01-19,POOL_FLAT
0,10,248,2,1.0408962456463717,0.09669738154950167,216.64414000643345,-125.64394104076446,1.0427352906251444,-216.91920338885447,-124.28233400854252,1.0408962456463717,0.6496856299162247,251.125713486905,1.0455864193678297,winter,2020-01-19,POOL_FLAT
0,11,249,2,1.0409094384747972,0.09628049209736113,216.64409446327878,-125.64395040307703,1.0427351461486312,-216.9223419766711,-124.2832298382773,1.0409094384747972,0.6496400867615602,251.1257041245924,1.0455863798966354,winter,2020-01-19,POOL_FLAT
0,12,264,3,1.0453689248639177,0.07353942993150697,216.63667532210133,-125.65042390017926,1.042721947362257,-217.06842939887193,-124.33697400366894,1.0415484480328812,0.626792649876766,251.07353417463045,1.0453689248639177,winter,2020-01-19,POOL_FLAT
0,13,276,2,1.0408536883938677,0.08572670442674626,216.53424477103175,-125.56172004267268,1.0421677378627288,-216.90832806780736,-124.28075479089125,1.0408536883938677,0.6112596301149775,251.01502857385793,1.0451251731699127,winter,2020-01-19,POOL_FLAT
0,14,289,1,1.0420350765791537,0.07694476466496154,216.50896510781627,-125.54179835624744,1.0420350765791537,-216.98032419239883,-124.30304594483268,1.0411599249980525,0.6043365954330544,251.01951223695423,1.0451437714276155,winter,2020-01-19,POOL_FLAT
0,15,314,2,1.0407979179954259,0.08745955911179645,216.53443724825595,-125.56168036059762,1.042168348253884,-216.8950641834565,-124.2769607659035,1.0407979179954259,0.6114521073394039,251.01506825593265,1.045125340340881,winter,2020-01-19,POOL_FLAT
0,16,320,3,1.0449449437653158,0.07349143403419246,216.53248731738142,-125.56478762127291,1.04216781484153,-216.97106344598419,-124.3012785232102,1.0411228103850547,0.601512812220545,250.97176490926833,1.0449449437653158,winter,2020-01-19,POOL_FLAT
0,17,327,3,1.045000390831015,0.07480299971021942,216.53254877962337,-125.56460212582749,1.0421676487824572,-216.97100198374318,-124.3010930277646,1.0411222044185988,0.6048357531386448,250.98507411110768,1.045000390831015,winter,2020-01-19,POOL_FLAT
0,18,337,3,1.0441338389659969,0.08302147969928768,216.152058167899,-125.22633580292069,1.0400907644748214,-216.66320871551753,-124.0605776636475,1.0395124635329032,0.558804513806659,250.77705385770534,1.0441338389659969,winter,2020-01-19,POOL_FLAT
0,19,342,3,1.0439707030279648,0.07187222640200944,216.2687301538026,-125.38493382965977,1.0408421670371415,-216.78225095221202,-124.17515695292366,1.0401796511935788,0.5543225872510299,250.7378820926222,1.0439707030279648,winter,2020-01-19,POOL_FLAT
0,20,349,1,1.040301348687995,0.08115726007570467,216.178718288122,-125.28120769731262,1.040301348687995,-216.71345071393333,-124.11002109226868,1.039796293114028,0.562495053984428,250.78038960485108,1.0441477619460415,winter,2020-01-19,POOL_FLAT
0,21,387,1,1.0408557190028302,0.07702984473909004,216.27482180274302,-125.380915990468,1.0408557190028302,-216.8086700573773,-124.18935485202812,1.040304481719473,0.5705294920441799,250.8207280526733,1.0443157895821016,winter,2020-01-19,POOL_FLAT
0,22,388,1,1.040301302290909,0.08115722076281506,216.17871002742203,-125.28119972718163,1.040301302290909,-216.71345082273598,-124.1100209702027,1.0397962932545628,0.5624949451815229,250.7803897269182,1.044147762453261,winter,2020-01-19,POOL_FLAT
0,23,406,2,1.0390128701978454,0.09799899283981886,216.1286961950801,-125.17863231015981,1.0399070410474118,-216.55717646458905,-124.00427738093448,1.0390128701978454,0.5690152731095294,250.8224669533203,1.0443230153001697,winter,2020-01-19,POOL_FLAT
0,24,458,3,1.0433438332601672,0.06454836751156304,216.20304614481338,-125.34767048516429,1.040527755950958,-216.71834431512045,-124.14636633280575,1.039889184892166,0.5305814950793679,250.58737297080438,1.0433438332601672,winter,2020-01-19,POOL_FLAT
0,25,502,1,1.0380940207126705,0.10962595893986807,215.83881293708546,-124.81018810566235,1.0380940207126705,-216.5462176129061,-123.81379185963772,1.0385793821450475,0.521573090043059,250.96624359638366,1.0449212106571824,winter,2020-01-19,POOL_FLAT
0,26,522,2,1.0389534435916872,0.08569065537754857,216.08772828496478,-125.23519584799638,1.0398775118228403,-216.52213224220955,-124.03674607662833,1.0389534435916872,0.5679617750501229,250.6059649376608,1.0434215834142435,winter,2020-01-19,POOL_FLAT
0,27,539,3,1.0433725298312058,0.06885098075420618,216.17589324303822,-125.32871395309313,1.0403903641648242,-216.68445635222903,-124.13008004287671,1.0397330489949068,0.5403866188045825,250.5942443108814,1.0433725298312058,winter,2020-01-19,POOL_FLAT
0,28,556,3,1.0433912601151465,0.0693039069959828,216.1759139892208,-125.32865128671052,1.0403903080279313,-216.68443560604635,-124.13001737649414,1.0397328443483538,0.5415079730914534,250.59874049750533,1.0433912601151465,winter,2020-01-19,POOL_FLAT
0,29,562,1,1.0377280812459022,0.11618105592452897,215.78487289224364,-124.72788630117827,1.0377280812459022,-216.49859630405663,-123.7705859527021,1.0383179667438205,0.5282278220698189,250.98832723550404,1.0450132154834781,winter,2020-01-19,POOL_FLAT
