HouseID,Signal,ComparisonScope,SignalAvailable,MatchedFinitePoints,PearsonR,RMSE_W,MAE_W,P99AbsoluteError_W,MaximumAbsoluteError_W,FractionWithin0p5W,RoundingAgreementFraction,ExactEqualityFraction,EquivalentOnMeasuredSlope,EquivalentOnMeasuredIntercept_W,ConsistencyThresholdPearsonR,ConsistencyPass,ConsistencyGateDefinition,ComparisonStatus,PaperPearsonR,PaperClaimReproduced,PaperRoundedOneDecimal,PairingScope
H4,Production,finite_release_same_timestamp,True,524470,0.7321716904810616,300.42537386092033,113.20967652481495,1424.0,3558.0,0.6726390451312754,0.6726390451312754,0.5810666005681927,0.768399923289405,62.71674490769095,0.99,False,PearsonR>0.99 (v1 continuity scope),fail,1.0,False,False,finite released values at identical published timestamps; continuity with v1
H4,Consumption,finite_release_same_timestamp,True,524470,0.5219457715321641,1236.9671414921163,546.0118120037264,4702.0,17664.800000000003,0.40598127633611075,0.40598127633611075,0.1357599100043854,0.5123117009678965,425.4650238167172,0.99,False,PearsonR>0.99 (v1 continuity scope),fail,1.0,False,False,finite released values at identical published timestamps; continuity with v1
