Date,LegacyMeanWhPerMinute,MinimumHomesPresent,Minutes,AmbientTemperatureC
2020-01-01,220.28313194444445,20,1440,9.632722222222222
2020-01-02,189.72218750000002,20,1440,10.426665972222223
2020-01-03,199.2077048611111,20,1440,7.950279166666666
2020-01-04,204.04262152777778,20,1440,8.957248611111112
2020-01-05,46.187215277777774,20,1440,9.98713888888889
2020-01-06,145.22692708333332,20,1440,9.684006944444445
2020-01-07,148.06947222222223,20,1440,11.423590277777778
2020-01-08,198.22347222222223,20,1440,7.9129625
2020-01-09,162.66191666666666,20,1440,5.781454166666666
2020-01-10,165.32633680555554,20,1440,8.971068055555556
2020-01-11,235.54450347222223,20,1440,10.330730555555556
2020-01-12,205.7827777777778,20,1440,7.285615277777778
2020-01-13,233.23638194444445,20,1440,8.343524305555555
2020-01-14,213.82953472222223,20,1440,5.8703
2020-01-15,220.19197222222223,20,1440,7.563674999999999
2020-01-16,253.7367048611111,20,1440,8.919435416666666
2020-01-17,258.01452777777774,20,1440,4.912938194444445
2020-01-18,225.54218055555555,20,1440,4.843070833333333
2020-01-19,262.10575,20,1440,5.569175
2020-01-20,217.75440277777778,20,1440,8.258370833333334
2020-01-21,213.76644791666666,20,1440,8.500254861111111
2020-01-22,197.85974305555553,20,1440,9.11538125
2020-01-23,192.52158333333335,20,1440,7.163960416666666
2020-01-24,196.56532291666667,20,1440,7.077994444444444
2020-01-25,187.86258680555557,20,1440,8.49052986111111
2020-01-26,206.85805208333332,20,1440,7.24945
2020-01-27,199.17836805555555,20,1440,5.124209027777778
2020-01-28,205.34605208333335,20,1440,5.942895138888889
2020-01-29,195.57016666666667,20,1440,8.840315277777778
2020-01-30,182.66579513888888,20,1440,10.11701388888889
2020-01-31,175.65014236111114,20,1440,10.880506944444445
2020-02-01,184.17002430555556,20,1440,8.42049375
2020-02-02,189.2314826388889,20,1440,10.36787013888889
2020-02-03,211.92563194444443,20,1440,7.728763194444444
2020-02-04,195.6262847222222,20,1440,7.536915972222222
2020-02-05,46.854274305555556,20,1440,7.528495833333333
2020-02-06,158.36457291666667,20,1440,8.764375000000001
