Date,ReleasedProcessedConsumptionKWh,MinimumHomesPresent,MaximumHomesPresent,Minutes,ReleasedGridComplete,ReleasedGridCompleteConsumptionKWh,AmbientTemperatureC
2020-01-01,311.446935,0,20,1440,False,,9.632722222222222
2020-01-02,269.94802000000004,20,20,1440,True,269.94802000000004,10.426665972222223
2020-01-03,287.779465,20,20,1440,True,287.779465,7.950279166666666
2020-01-04,300.9471,20,20,1440,True,300.9471,8.957248611111112
2020-01-05,60.168405,20,20,1440,True,60.168405,9.98713888888889
2020-01-06,208.25615500000004,20,20,1440,True,208.25615500000004,9.684006944444445
2020-01-07,213.758755,20,20,1440,True,213.758755,11.423590277777778
2020-01-08,285.47344499999997,20,20,1440,True,285.47344499999997,7.9129625
2020-01-09,234.299055,20,20,1440,True,234.299055,5.781454166666666
2020-01-10,236.649265,20,20,1440,True,236.649265,8.971068055555556
2020-01-11,339.42882000000003,20,20,1440,True,339.42882000000003,10.330730555555556
2020-01-12,295.67720999999995,20,20,1440,True,295.67720999999995,7.285615277777778
2020-01-13,335.749445,20,20,1440,True,335.749445,8.343524305555555
2020-01-14,310.40612,20,20,1440,True,310.40612,5.8703
2020-01-15,316.757975,20,20,1440,True,316.757975,7.563674999999999
2020-01-16,365.39932,20,20,1440,True,365.39932,8.919435416666666
2020-01-17,369.59181,20,20,1440,True,369.59181,4.912938194444445
2020-01-18,323.46688,20,20,1440,True,323.46688,4.843070833333333
2020-01-19,378.63385,20,20,1440,True,378.63385,5.569175
2020-01-20,313.69784000000004,20,20,1440,True,313.69784000000004,8.258370833333334
2020-01-21,307.43064999999996,20,20,1440,True,307.43064999999996,8.500254861111111
2020-01-22,287.670235,20,20,1440,True,287.670235,9.11538125
2020-01-23,277.03877,20,20,1440,True,277.03877,7.163960416666666
2020-01-24,282.11153,20,20,1440,True,282.11153,7.077994444444444
2020-01-25,269.417555,20,20,1440,True,269.417555,8.49052986111111
2020-01-26,299.95696999999996,20,20,1440,True,299.95696999999996,7.24945
2020-01-27,287.24374,20,20,1440,True,287.24374,5.124209027777778
2020-01-28,295.003725,20,20,1440,True,295.003725,5.942895138888889
2020-01-29,281.03458499999994,20,20,1440,True,281.03458499999994,8.840315277777778
2020-01-30,262.220555,20,20,1440,True,262.220555,10.11701388888889
2020-01-31,251.57809000000003,20,20,1440,True,251.57809000000003,10.880506944444445
2020-02-01,267.03269,20,20,1440,True,267.03269,8.42049375
2020-02-02,272.70731,20,20,1440,True,272.70731,10.36787013888889
2020-02-03,304.33845499999995,20,20,1440,True,304.33845499999995,7.728763194444444
2020-02-04,289.98992499999997,20,20,1440,True,289.98992499999997,7.536915972222222
2020-02-05,60.77907,20,20,1440,True,60.77907,7.528495833333333
2020-02-06,226.20128999999997,20,20,1440,True,226.20128999999997,8.764375000000001
2020-02-07,229.20776,20,20,1440,True,229.20776,8.80994861111111
2020-02-08,249.133505,20,20,1440,True,249.133505,8.888790972222223
2020-02-09,273.71751,20,20,1440,True,273.71751,10.10961388888889
2020-02-10,256.55102500000004,20,20,1440,True,256.55102500000004,6.093389583333333
2020-02-11,317.04271,20,20,1440,True,317.04271,5.471330555555555
2020-02-12,335.16438,20,20,1440,True,335.16438,6.260474305555556
2020-02-13,274.79454000000004,20,20,1440,True,274.79454000000004,8.364399305555557
2020-02-14,292.03465,20,20,1440,True,292.03465,9.899035416666667
2020-02-15,296.84548,20,20,1440,True,296.84548,9.942425
2020-02-16,289.633475,20,20,1440,True,289.633475,6.775452083333334
2020-02-17,274.14456,20,20,1440,True,274.14456,6.819285416666667
2020-02-18,269.394075,20,20,1440,True,269.394075,7.232818055555556
2020-02-19,314.749465,20,20,1440,True,314.749465,9.404886805555556
2020-02-20,302.100205,20,20,1440,True,302.100205,6.883029166666667
2020-02-21,349.37242000000003,20,20,1440,True,349.37242000000003,10.150729166666666
2020-02-22,333.89140999999995,20,20,1440,True,333.89140999999995,8.974941666666666
2020-02-23,323.494275,20,20,1440,True,323.494275,8.695493055555556
2020-02-24,335.09828000000005,20,20,1440,True,335.09828000000005,9.14670625
