Time,AggregateLoadKW,AggregatePvKW,NoBatteryPvSelfImportKW,Import_SH_BM_KW,Import_VPP_BM_KW,Import_PS_KW,Import_PSDT_KW,Import_LL_KW,Import_IMPROVED_PEAK_GUARD_KW
24-Aug-2020 18:00:00,18.87078,1.05389,17.9361625,5.04198,4.44089209850063e-16,8.49824226737143,1.77635683940025e-15,8.4982422181542,2.22044604925031e-16
24-Aug-2020 18:30:00,18.22888,0.76408,17.526933,10.0112,-5.55111512312578e-16,8.49824226737143,-1.11022302462516e-16,8.4982422181542,1.11022302462516e-16
24-Aug-2020 19:00:00,12.09404,0.8852,11.453067,2.09474,0,8.49824226737144,-4.44089209850063e-16,8.49824221815421,-1.11022302462516e-16
24-Aug-2020 19:30:00,16.00942,0.35284,15.70385,3.466101,-5.55111512312578e-17,8.49824226737143,-5.55111512312578e-17,8.4982422181542,1.36526696
24-Aug-2020 20:00:00,13.29302,0.09338,13.204309,4.34134,-1.11022302462516e-16,8.49824226737144,-3.33066907387547e-16,8.49824221815421,1.15194301231888
24-Aug-2020 20:30:00,12.19997,0.01406,12.186613,3.78007,-1.11022302462516e-16,8.49824226737144,-1.11022302462516e-16,8.4982422181542,2.60615
24-Aug-2020 21:00:00,15.5166,0.01178,15.505409,7.08618,6.10622663543836e-16,8.49824226737143,0,8.4982422181542,4.24314
24-Aug-2020 21:30:00,14.87162,0.0094,14.86269,7.8304105,6.7168492989822e-15,8.49824226737143,5.55111512312578e-17,8.4982422181542,7.10026
24-Aug-2020 22:00:00,16.79454,0.00332,16.791386,8.03136,-1.11022302462516e-16,8.49824226737143,-7.54951656745106e-15,8.4982422181542,7.2084505
24-Aug-2020 22:30:00,12.835,0.01014,12.825367,12.601407,12.825367,8.49824226737143,12.825367,8.4982423181542,12.825367
24-Aug-2020 23:00:00,9.01564,0.00634,9.009617,8.799477,9.009617,8.49824226737144,9.009617,8.4982423181542,9.009617
24-Aug-2020 23:30:00,10.04552,0.00382,10.041891,9.697151,10.041891,8.49824226737143,10.041891,8.4982423181542,10.041891
25-Aug-2020 00:00:00,11.0438,0.00446,11.039563,10.6045066968693,11.039563,8.49824226737143,11.039563,8.49824231815421,11.039563
