Month,Day,Score,Selected
1,25-Jan-2013,0.801965922084603,1
1,21-Jan-2013,0.819974967018309,0
1,07-Jan-2013,0.8227697638363,0
1,24-Jan-2013,0.897865067191076,0
1,03-Jan-2013,0.898421643505275,0
1,15-Jan-2013,0.924741916450616,0
1,16-Jan-2013,0.985159888408736,0
1,04-Jan-2013,1.02737728639115,0
1,31-Jan-2013,1.06430384294718,0
1,30-Jan-2013,1.13323824450842,0
1,14-Jan-2013,1.15021853584246,0
1,17-Jan-2013,1.18828800006802,0
1,29-Jan-2013,1.41986904658926,0
1,26-Jan-2013,1.49182997547982,0
1,06-Jan-2013,1.63378056510712,0
1,05-Jan-2013,1.71558268692579,0
1,01-Jan-2013,1.75104228119196,0
1,11-Jan-2013,2.01417113552063,0
1,02-Jan-2013,2.25139127029862,0
1,23-Jan-2013,2.34536034326114,0
1,22-Jan-2013,2.39970785122826,0
1,13-Jan-2013,2.72672957183127,0
1,20-Jan-2013,2.75323910440578,0
1,27-Jan-2013,2.89762155917372,0
1,28-Jan-2013,3.34954091538679,0
1,19-Jan-2013,3.3834695828968,0
1,18-Jan-2013,5.04779381296421,0
1,08-Jan-2013,5.44952314094816,0
1,12-Jan-2013,5.47773607704669,0
2,15-Feb-2013,1.28745486252044,1
2,04-Feb-2013,1.3683073327803,0
2,26-Feb-2013,1.38270476446802,0
2,06-Feb-2013,1.42593723927604,0
2,18-Feb-2013,1.43960609785296,0
2,27-Feb-2013,1.46251841378665,0
2,20-Feb-2013,1.48344790629022,0
2,21-Feb-2013,1.49947404279001,0
2,13-Feb-2013,1.51379913178403,0
2,05-Feb-2013,1.59224963468911,0
2,14-Feb-2013,1.63572956240033,0
2,03-Feb-2013,1.71894780468118,0
2,17-Feb-2013,1.76373948016538,0
2,07-Feb-2013,1.76529128011979,0
2,19-Feb-2013,1.8327307196995,0
2,08-Feb-2013,2.11052811089801,0
2,11-Feb-2013,2.25634484591784,0
2,22-Feb-2013,2.269086214852,0
2,25-Feb-2013,2.3004904573706,0
2,16-Feb-2013,2.32174162114318,0
2,28-Feb-2013,2.32400956721876,0
2,12-Feb-2013,2.3540126860411,0
2,02-Feb-2013,2.67072660755532,0
2,23-Feb-2013,3.02604539354332,0
2,01-Feb-2013,3.42490574297549,0
2,24-Feb-2013,3.52780300141441,0
2,09-Feb-2013,3.80905793010848,0
2,10-Feb-2013,4.44727058928638,0
3,12-Mar-2013,0.80509547923617,1
3,13-Mar-2013,1.06889804268162,0
3,30-Mar-2013,1.07558840806924,0
3,11-Mar-2013,1.08205736057339,0
3,20-Mar-2013,1.08722729545201,0
3,08-Mar-2013,1.12523234807696,0
3,21-Mar-2013,1.14331255208368,0
3,18-Mar-2013,1.16041427657882,0
3,14-Mar-2013,1.40001102834061,0
3,17-Mar-2013,1.5914920375526,0
3,29-Mar-2013,1.64189935614173,0
3,27-Mar-2013,1.6874608517309,0
3,16-Mar-2013,1.70778652744775,0
3,09-Mar-2013,1.75286315850206,0
3,25-Mar-2013,1.78654218603365,0
3,26-Mar-2013,1.8777108701787,0
3,22-Mar-2013,1.89588556473099,0
3,19-Mar-2013,2.00682093522749,0
3,10-Mar-2013,2.12600525135131,0
3,07-Mar-2013,2.51067163004589,0
3,23-Mar-2013,2.52774500168223,0
3,06-Mar-2013,2.70907581976337,0
3,04-Mar-2013,2.73710996845219,0
3,03-Mar-2013,2.77919151461063,0
3,31-Mar-2013,2.99357802310361,0
3,28-Mar-2013,3.00087683892635,0
3,15-Mar-2013,3.12140648580205,0
3,05-Mar-2013,3.51879659281635,0
3,24-Mar-2013,3.5439133511749,0
3,02-Mar-2013,3.8157702405493,0
