Strategy,MedianSavingsPercent,FirstQuartileSavingsPercent,MinimumSavingsPercent,MaximumSavingsPercent,MedianPeakRatioToP0,MaximumPeakRatioToP0,MonthsAboveP0
SH_BM,43.6048364569668,36.7676027785779,23.4703449075422,58.3508170533469,1.46191021125471,2.07859020338073,9
VPP_BM,60.5392790068371,47.2239799639999,30.0459992730471,73.931425718108,1.01525009247324,2.38865951668296,6
IMPROVED_PEAK_GUARD,60.539279006837,47.2239799639999,30.0459992730471,73.9314257181078,1,1,0
