Experiment,Month,Day,Sequence,Strategy,Alpha,RequestedCapKW,EffectiveCapKW,P0KW,PminKW,Status,ErrorIdentifier,ErrorMessage,WallTimeSeconds,AcceptancePassed,AcceptanceMessage,BaselineBillEUR,OptimizedBillEUR,SavingsEUR,SavingsPercent,BaselinePeakImportKW,PeakImportKW,DaytimePeakImportKW,ImportSpreadKW,TotalGridImportKWh,TotalBatteryThroughputKWh,TotalCurtailedPvKWh,TotalSharedExportKWh,EnergyBalanceResidualKW,TerminalSocErrorKWh,SimultaneousChargeDischargeKW,ExitFlags,MinimumExitFlag
frontier,3,12-Mar-2013,2,IMPROVED_PEAK_GUARD,1,52.926,52.926,52.926,42.7155283357235,ok,,,17.66069525,1,,79.323284,25.5054109904159,53.8178730095841,67.8462492924324,52.926,47.312,7.105427357601e-15,47.3120000000001,280.279241652922,529.785249038558,0,160.555619242794,8.85957973650875e-14,0,0,1;1,1
frontier,3,12-Mar-2013,3,IMPROVED_PEAK_GUARD,0.75,50.3733820839309,50.3733820839309,52.926,42.7155283357235,ok,,,21.7517574166667,1,,79.323284,25.5054109904159,53.8178730095841,67.8462492924324,52.926,47.312,3.33066907387547e-15,47.312,280.279241652922,529.785249038558,3.10558689332399e-05,160.555175587526,6.88338275267597e-15,0,0,1;1,1
frontier,3,12-Mar-2013,4,IMPROVED_PEAK_GUARD,0.5,47.8207641678618,47.8207641678618,52.926,42.7155283357235,ok,,,13.6185497083333,1,,79.323284,25.5054109904159,53.8178730095841,67.8462492924324,52.926,47.312,4.79616346638068e-14,47.312,280.279241652922,529.785249038558,0,160.555619242792,1.18793863634892e-13,0,0,1;1,1
frontier,3,12-Mar-2013,5,IMPROVED_PEAK_GUARD,0.25,45.2681462517927,45.2681462517927,52.926,42.7155283357235,ok,,,15.41857725,1,,79.323284,25.5154575799972,53.8078264200028,67.833583919701,52.926,45.2681462517926,4.57966997657877e-15,45.2681462517926,280.389643736233,531.936674013429,0,160.555619417548,3.5527136788005e-15,0,0,1;1,1
frontier,3,12-Mar-2013,6,IMPROVED_PEAK_GUARD,0,42.7155283357235,42.7155293357235,52.926,42.7155283357235,ok,,,39.055466625,1,,79.323284,25.5280050015223,53.7952789984777,67.8177658384362,52.926,42.7155293357235,2.66453525910038e-15,42.7155293357235,280.527527489256,534.623639159209,0,160.55561963581,3.99680288865056e-15,0,0,1;1,1
frontier,6,26-Jun-2013,2,IMPROVED_PEAK_GUARD,1,87.322,87.322,87.322,73.2680125830424,ok,,,15.7544445416667,1,,154.243455,107.899467631977,46.3439873680227,30.0459992730471,87.322,87.3220000000001,36.74671,87.3220000000001,1080.60391780599,837.373051219246,0,122.806551409751,4.49640324973188e-15,0,0,1;1,1
frontier,6,26-Jun-2013,3,IMPROVED_PEAK_GUARD,0.75,83.8085031457606,83.8085031457606,87.322,73.2680125830424,ok,,,22.57025875,1,,154.243455,110.068971313176,44.1744836868241,28.6394542230814,87.322,83.8085031457607,40.9904,83.8085031457607,1075.75093695803,779.986005249999,0,95.5477045743584,5.44009282066327e-15,0,0,1;1,1
frontier,6,26-Jun-2013,4,IMPROVED_PEAK_GUARD,0.5,80.2950062915212,80.2950062915212,87.322,73.2680125830424,ok,,,20.9315303333333,1,,154.243455,112.592682977727,41.650772022273,27.0032670250242,87.322,80.2950062915213,44.025,80.2950062915213,1070.10562532295,713.229558343808,0,63.8383922939176,6.88338275267597e-15,0,0,1;1,1
frontier,6,26-Jun-2013,5,IMPROVED_PEAK_GUARD,0.25,76.7815094372818,76.7815094372818,87.322,73.2680125830424,ok,,,11.6946050416667,1,,154.243455,115.388455550818,38.8549994491824,25.1906957408225,87.322,76.7815094372819,56.67754,76.7815094372819,1065.86270173557,646.585527176679,0,52.0807849462366,2.04281036531029e-14,0,0,1;1,1
frontier,6,26-Jun-2013,6,IMPROVED_PEAK_GUARD,0,73.2680125830424,73.2680135830424,87.322,73.2680125830424,ok,,,11.008341,1,,154.243455,118.355224649609,35.8882303503914,23.2672630098901,87.322,73.2680135830424,56.869,73.2680135830425,1062.50119660933,581.07927343458,0,52.0807849462366,2.1538326677728e-14,0,0,1;1,1
