Day,Score,QualityPassed,QualityStatus,QualityMessage,LoadEnergyKWh,PvEnergyKWh,LoadPeakKW,PvPeakKW,Selected
19-Jul-2020,0.554045685596691,0,quality_rejected,"StoreNet:QualityRejected: Day 2020-07-19 fails exclude_flagged_pv: status_fraction_exceeds_0.005:H18.",236.118735,126.242885,14.91238,16.23614,0
05-Dec-2020,0.556719360865723,0,quality_rejected,"StoreNet:QualityRejected: Day 2020-12-05 fails exclude_flagged_pv: status_run_exceeds_2min:H7,H8,H19; status_fraction_exceeds_0.005:H19; pv_window_exceeds_astronomical_day_length_plus_0.5h.",254.64819,128.52996,20.92186,15.106,0
04-Aug-2020,0.564557883150091,0,quality_rejected,"StoreNet:QualityRejected: Day 2020-08-04 fails exclude_flagged_pv: status_run_exceeds_2min:H7,H18.",289.923365,117.67715,22.63928,16.44324,0
18-Jul-2020,0.568809003645997,0,quality_rejected,"StoreNet:QualityRejected: Day 2020-07-18 fails exclude_flagged_pv: status_run_exceeds_2min:H20; status_fraction_exceeds_0.005:H20.",251.91238,119.022015,16.9915542857143,16.25324,0
29-Mar-2020,0.576404648736176,0,quality_rejected,"StoreNet:QualityRejected: Day 2020-03-29 fails exclude_flagged_pv: status_run_exceeds_2min:H1,H2,H3,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20; status_fraction_exceeds_0.005:H1,H2,H3,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20.",283.20832,117.21342,17.94072,16.30699,0
27-Apr-2020,0.580207782074156,0,quality_rejected,"StoreNet:QualityRejected: Day 2020-04-27 fails exclude_flagged_pv: status_run_exceeds_2min:H5.",247.430945,130.132305,18.65482,17.68984,0
31-Mar-2020,0.582102053275288,0,quality_rejected,"StoreNet:QualityRejected: Day 2020-03-31 fails exclude_flagged_pv: status_run_exceeds_2min:H4,H9,H19,H20; status_fraction_exceeds_0.005:H4.",303.931435,115.88529,19.0641,17.34962,0
08-Jul-2020,0.585067304674924,0,quality_rejected,"StoreNet:QualityRejected: Day 2020-07-08 fails exclude_flagged_pv: status_run_exceeds_2min:H5,H12,H17; status_fraction_exceeds_0.005:H1,H3,H5,H7,H12,H13,H17,H18.",259.727835,124.09002,18.28339,16.78249,0
21-Jun-2020,0.590206781207606,0,quality_rejected,"StoreNet:QualityRejected: Day 2020-06-21 fails exclude_flagged_pv: status_run_exceeds_2min:H7,H12,H13,H15,H17.",235.628275,131.19381,17.97704,17.29526,0
07-Sep-2020,0.590787535865105,0,quality_rejected,"StoreNet:QualityRejected: Day 2020-09-07 fails exclude_flagged_pv: status_run_exceeds_2min:H7,H13.",215.68807,126.05525,16.06638,17.47846,0
05-Nov-2020,0.603285686058576,0,quality_rejected,"StoreNet:QualityRejected: Day 2020-11-05 fails exclude_flagged_pv: status_run_exceeds_2min:H1,H5,H7; pv_window_exceeds_astronomical_day_length_plus_0.5h.",253.55405,136.460335,19.75792,16.67468,0
27-Mar-2020,0.605636051787821,0,quality_rejected,"StoreNet:QualityRejected: Day 2020-03-27 fails exclude_flagged_pv: status_run_exceeds_2min:H9,H13,H15,H16,H18.",310.071155,121.5723,21.2658,16.52732,0
01-Jan-2020,Inf,0,score_unavailable,"StoreNet:QualityRejected: Day 2020-01-01 fails release_literal: physical_incomplete:H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20.",NaN,NaN,NaN,NaN,0
