Day,ExperimentId,ScenarioId,PairId,SensitivityRole,CohortId,HouseCount,PvHomeCount,H4MaskAffected,H4AlignmentCategory,PvBoundaryId,TransferLossFraction,QualityMode,Strategy,ResultKind,Status,ErrorIdentifier,ErrorMessage,WallTimeSeconds,CapacityRatio,PowerRatio,BatteryCapacityKWhPerHome,BatteryPowerKWPerHome,PaperLoadOnlyBaselineBillEUR,PaperLoadOnlySavingsEUR,PaperLoadOnlySavingsPercent,PaperSavingsPercentDenominatorIsZero,OriginalLoadPeakKW,OriginalLoadDaytimePeakKW,PvSelfNoBatteryBaselineBillEUR,EngineeringSavingsEUR,EngineeringSavingsPercent,EngineeringSavingsPercentDenominatorIsZero,PvSelfNoBatteryPeakKW,OptimizedBillEUR,OptimizedPeakImportKW,OptimizedDaytimePeakImportKW,OptimizedImportSpreadKW,ObservedReleasePvSelfNoBatteryBaselineBillEUR,ObservedReleaseEngineeringSavingsEUR,ObservedReleaseEngineeringSavingsPercent,ObservedReleaseEngineeringSavingsPercentDenominatorIsZero,ObservedBillEUR,ObservedPeakImportKW,ObservedDaytimePeakImportKW,ObservedImportSpreadKW,TotalGridImportKWh,TotalBatteryThroughputKWh,TotalCurtailedPvKWh,TotalSharedExportKWh,TotalFeedInKWh,EnergyBalanceResidualKW,PvAllocationResidualKW,HomeBalanceResidualKW,BatteryDynamicsResidualKW,AggregateImportResidualKW,ChargeConversionResidualKW,DischargeConversionResidualKW,InitialSocErrorKWh,TerminalSocErrorKWh,SocBoundViolationKWh,ChargePowerViolationKW,DischargePowerViolationKW,AggregateImportNonnegativeViolationKW,SimultaneousChargeDischargeKW,SimultaneousChargeDischargeCount,MaximumLexicographicViolation,MinimumExitFlag,MaximumRelativeMipGap,StageCount,InputsPath,InputsSha256,SolutionPath,SolutionSha256,StagesPath,MetricsPath,MetricsSha256,ObservedProfilesPath,ObservedProfilesSha256
24-Aug-2020,B2022_TYPICAL_V1,DC_XI007_H20,DC_XI007,PRIMARY,H20_PV10,20,10,1,same_date_plus60_core,DC_SOURCE,0.07,release_literal,SH_BM,MODEL_STRUCTURAL_PROXY,ok,,,2.956620625,1,1,10,3.3,36.671172405,14.0818443467969,38.4003112615972,0,18.87078,18.87078,33.29714113,10.7078130717969,32.1583556678067,0,17.9361625,22.5893280582031,55.6817390581717,10.0112,55.6817390581717,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,213.7315618841,211.456323213822,3.6126103860772,0,NaN,1.77635683940025e-15,1.11022302462516e-16,2.22044604925031e-16,1.77635683940025e-15,0,0,0,0,0,1.11022302462516e-16,0,4.44089209850063e-16,0,0,0,0,1,0,2,/Users/guichenxiang/Desktop/電力專案/StoreNet/results/b2022_ir_v1_formal/b2022_typical_v1_20200824/cases/DC_XI007_H20/SH_BM/inputs_eae903b88e4f322316d978ccb59f804da3ac44719cf61e5495611ce2fafde093.mat,eae903b88e4f322316d978ccb59f804da3ac44719cf61e5495611ce2fafde093,/Users/guichenxiang/Desktop/電力專案/StoreNet/results/b2022_ir_v1_formal/b2022_typical_v1_20200824/cases/DC_XI007_H20/SH_BM/solution_aa7b47c86bc389fc0f9fe1654d7b4a0e03c1322e8fc582785bfafb76ac59e5cb.mat,aa7b47c86bc389fc0f9fe1654d7b4a0e03c1322e8fc582785bfafb76ac59e5cb,/Users/guichenxiang/Desktop/電力專案/StoreNet/results/b2022_ir_v1_formal/b2022_typical_v1_20200824/cases/DC_XI007_H20/SH_BM/stages.csv,/Users/guichenxiang/Desktop/電力專案/StoreNet/results/b2022_ir_v1_formal/b2022_typical_v1_20200824/cases/DC_XI007_H20/SH_BM/metrics.json,,,
24-Aug-2020,B2022_TYPICAL_V1,DC_XI007_H20,DC_XI007,PRIMARY,H20_PV10,20,10,1,same_date_plus60_core,DC_SOURCE,0.07,release_literal,VPP_BM,MODEL_STRUCTURAL_PROXY,ok,,,6.15791458333333,1,1,10,3.3,36.671172405,17.113127226368,46.6664306157681,0,18.87078,18.87078,33.29714113,13.739095951368,41.2620888313724,0,17.9361625,19.558045178632,75.5007842105263,6.7168492989822e-15,75.5007842105263,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,214.92357339156,244.671414653528,0,32.7784615091966,NaN,3.17523785042795e-14,3.17523785042795e-14,2.87131429743681e-14,3.06005221162309e-14,0,0,0,0,0,1.11022302462516e-16,0,4.44089209850063e-16,1.22124532708767e-15,0,0,7.105427357601e-15,1,0,2,/Users/guichenxiang/Desktop/電力專案/StoreNet/results/b2022_ir_v1_formal/b2022_typical_v1_20200824/cases/DC_XI007_H20/VPP_BM/inputs_52b903bf60b6f0374daacf943abccdc4a10d740ae39fd9c41ebe1df082289f1c.mat,52b903bf60b6f0374daacf943abccdc4a10d740ae39fd9c41ebe1df082289f1c,/Users/guichenxiang/Desktop/電力專案/StoreNet/results/b2022_ir_v1_formal/b2022_typical_v1_20200824/cases/DC_XI007_H20/VPP_BM/solution_e76ff0621526addc441df6e7fbcd3a6ec1f904d50f1c4e4bfbf459e8a4ed53cb.mat,e76ff0621526addc441df6e7fbcd3a6ec1f904d50f1c4e4bfbf459e8a4ed53cb,/Users/guichenxiang/Desktop/電力專案/StoreNet/results/b2022_ir_v1_formal/b2022_typical_v1_20200824/cases/DC_XI007_H20/VPP_BM/stages.csv,/Users/guichenxiang/Desktop/電力專案/StoreNet/results/b2022_ir_v1_formal/b2022_typical_v1_20200824/cases/DC_XI007_H20/VPP_BM/metrics.json,,,
24-Aug-2020,B2022_TYPICAL_V1,DC_XI007_H20,DC_XI007,PRIMARY,H20_PV10,20,10,1,same_date_plus60_core,DC_SOURCE,0.07,release_literal,PS,MODEL_STRUCTURAL_PROXY,ok,,,18.6634695,1,1,10,3.3,36.671172405,7.60718514484612,20.744319436618,0,18.87078,18.87078,33.29714113,4.23315386984612,12.7132652419584,0,17.9361625,29.0639872601539,8.49824226737144,8.49824226737144,1.33428496340571e-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,203.95780774549,90.3350213394312,0,3.42364019466425,NaN,7.74491581978509e-13,2.85882428840978e-15,1.78884684842728e-13,7.74491581978509e-13,0,0,0,0,0,1.11022302462516e-15,0,4.44089209850063e-16,0,0,0,1.77635683940025e-15,1,0,3,/Users/guichenxiang/Desktop/電力專案/StoreNet/results/b2022_ir_v1_formal/b2022_typical_v1_20200824/cases/DC_XI007_H20/PS/inputs_f2a52290b6c47b51408cb9b04820b3ea5d58f0f8183e0659c517c1df0557e3be.mat,f2a52290b6c47b51408cb9b04820b3ea5d58f0f8183e0659c517c1df0557e3be,/Users/guichenxiang/Desktop/電力專案/StoreNet/results/b2022_ir_v1_formal/b2022_typical_v1_20200824/cases/DC_XI007_H20/PS/solution_d19cbc610c155fca262e44de87ad0affc926746f608c90d6bb445cdf6c5ca41a.mat,d19cbc610c155fca262e44de87ad0affc926746f608c90d6bb445cdf6c5ca41a,/Users/guichenxiang/Desktop/電力專案/StoreNet/results/b2022_ir_v1_formal/b2022_typical_v1_20200824/cases/DC_XI007_H20/PS/stages.csv,/Users/guichenxiang/Desktop/電力專案/StoreNet/results/b2022_ir_v1_formal/b2022_typical_v1_20200824/cases/DC_XI007_H20/PS/metrics.json,,,
24-Aug-2020,B2022_TYPICAL_V1,DC_XI007_H20,DC_XI007,PRIMARY,H20_PV10,20,10,1,same_date_plus60_core,DC_SOURCE,0.07,release_literal,PSDT,MODEL_STRUCTURAL_PROXY,ok,,,6.44931320833333,1,1,10,3.3,36.671172405,17.1131272263681,46.6664306157682,0,18.87078,18.87078,33.29714113,13.739095951368,41.2620888313724,0,17.9361625,19.558045178632,75.5007842105263,1.77635683940025e-15,75.5007842105263,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,214.92357339156,244.671414653531,0,32.7784615091947,NaN,8.54871728961371e-15,5.10702591327572e-15,8.88178419700125e-16,8.54871728961371e-15,0,0,0,0,0,1.11022302462516e-16,0,4.44089209850063e-16,7.54951656745106e-15,0,0,0,1,0,3,/Users/guichenxiang/Desktop/電力專案/StoreNet/results/b2022_ir_v1_formal/b2022_typical_v1_20200824/cases/DC_XI007_H20/PSDT/inputs_92e7598b306b07b590d95028a6b2a40cbe57a7791ca1070fbf3ab66651420d1f.mat,92e7598b306b07b590d95028a6b2a40cbe57a7791ca1070fbf3ab66651420d1f,/Users/guichenxiang/Desktop/電力專案/StoreNet/results/b2022_ir_v1_formal/b2022_typical_v1_20200824/cases/DC_XI007_H20/PSDT/solution_ab0d99b4b73910f90fc9e85277c684c23eec168d91d2584049fef1218b982666.mat,ab0d99b4b73910f90fc9e85277c684c23eec168d91d2584049fef1218b982666,/Users/guichenxiang/Desktop/電力專案/StoreNet/results/b2022_ir_v1_formal/b2022_typical_v1_20200824/cases/DC_XI007_H20/PSDT/stages.csv,/Users/guichenxiang/Desktop/電力專案/StoreNet/results/b2022_ir_v1_formal/b2022_typical_v1_20200824/cases/DC_XI007_H20/PSDT/metrics.json,,,
24-Aug-2020,B2022_TYPICAL_V1,DC_XI007_H20,DC_XI007,PRIMARY,H20_PV10,20,10,1,same_date_plus60_core,DC_SOURCE,0.07,release_literal,LL,MODEL_STRUCTURAL_PROXY,ok,,,35.967615,1,1,10,3.3,36.671172405,7.60718390971262,20.744316068486,0,18.87078,18.87078,33.29714113,4.23315263471262,12.7132615325303,0,17.9361625,29.0639884952874,8.49824231815424,8.49824221815421,1.0000004024846e-07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,203.957814435701,90.3343423628653,0,3.42397327668001,NaN,1.65978342181461e-14,3.33066907387547e-16,2.22044604925031e-16,1.65978342181461e-14,0,0,0,0,0,1.11022302462516e-16,0,4.44089209850063e-16,0,0,0,4.02484602136387e-14,1,0,3,/Users/guichenxiang/Desktop/電力專案/StoreNet/results/b2022_ir_v1_formal/b2022_typical_v1_20200824/cases/DC_XI007_H20/LL/inputs_68a40a6a8905cacac0a41276e88dafcb958b94c2e195e178c0b983fbdc3b0c33.mat,68a40a6a8905cacac0a41276e88dafcb958b94c2e195e178c0b983fbdc3b0c33,/Users/guichenxiang/Desktop/電力專案/StoreNet/results/b2022_ir_v1_formal/b2022_typical_v1_20200824/cases/DC_XI007_H20/LL/solution_c667023d2902ccc74401446033d8f256bdd9caad7284fe617bcdd588034d0ecb.mat,c667023d2902ccc74401446033d8f256bdd9caad7284fe617bcdd588034d0ecb,/Users/guichenxiang/Desktop/電力專案/StoreNet/results/b2022_ir_v1_formal/b2022_typical_v1_20200824/cases/DC_XI007_H20/LL/stages.csv,/Users/guichenxiang/Desktop/電力專案/StoreNet/results/b2022_ir_v1_formal/b2022_typical_v1_20200824/cases/DC_XI007_H20/LL/metrics.json,,,
24-Aug-2020,B2022_TYPICAL_V1,DC_XI007_H19,DC_XI007,H4_PAIR,H19_EXCL_H4_PV9,19,9,1,same_date_plus60_core,DC_SOURCE,0.07,release_literal,VPP_BM,MODEL_STRUCTURAL_PROXY,ok,,,4.701759125,1,1,10,3.3,35.070142815,16.2769794003077,46.4126407644563,0,18.60514,18.60514,32.075441745,13.2822783303077,41.4094946404852,0,17.9361625,18.7931634146923,67.9928186703601,2.06057393370429e-13,67.9928186703601,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,206.518279282333,236.97302470377,0,32.7784235803094,NaN,9.54791801177635e-15,1.11022302462516e-16,1.67921232474555e-15,9.54791801177635e-15,0,0,0,0,0,1.11022302462516e-16,0,4.44089209850063e-16,4.71844785465692e-15,0,0,1.06581410364015e-14,1,0,2,/Users/guichenxiang/Desktop/電力專案/StoreNet/results/b2022_ir_v1_formal/b2022_typical_v1_20200824/cases/DC_XI007_H19/VPP_BM/inputs_dd878b4e3c05ecd437484492d6cfc04e003f8deb774652db46129d2e41e95dff.mat,dd878b4e3c05ecd437484492d6cfc04e003f8deb774652db46129d2e41e95dff,/Users/guichenxiang/Desktop/電力專案/StoreNet/results/b2022_ir_v1_formal/b2022_typical_v1_20200824/cases/DC_XI007_H19/VPP_BM/solution_2a4a58e694dfee4b129a1bf24db07487bcf03121c92cddf8c3d9953423a045cc.mat,2a4a58e694dfee4b129a1bf24db07487bcf03121c92cddf8c3d9953423a045cc,/Users/guichenxiang/Desktop/電力專案/StoreNet/results/b2022_ir_v1_formal/b2022_typical_v1_20200824/cases/DC_XI007_H19/VPP_BM/stages.csv,/Users/guichenxiang/Desktop/電力專案/StoreNet/results/b2022_ir_v1_formal/b2022_typical_v1_20200824/cases/DC_XI007_H19/VPP_BM/metrics.json,,,
24-Aug-2020,B2022_TYPICAL_V1,AC_XI007_H20,AC_XI007,PV_BOUNDARY,H20_PV10,20,10,1,same_date_plus60_core,AC_METER_RECONSTRUCTED_DC,0.07,release_literal,VPP_BM,MODEL_STRUCTURAL_PROXY,ok,,,4.45824808333333,1,1,10,3.3,36.671172405,17.3070522436483,47.1952520429605,0,18.87078,18.87078,33.226325705,13.8622055436483,41.7205491414367,0,17.90433,19.3641201613517,75.3894810526316,1.27953203588049e-14,75.3894810526316,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,212.792529245623,241.839049689555,0,32.7277613014673,NaN,2.30926389122033e-14,9.38138455808257e-15,4.44089209850063e-16,2.30926389122033e-14,0,0,0,0,0,1.11022302462516e-16,0,4.44089209850063e-16,5.6621374255883e-15,0,0,1.77635683940025e-14,1,0,2,/Users/guichenxiang/Desktop/電力專案/StoreNet/results/b2022_ir_v1_formal/b2022_typical_v1_20200824/cases/AC_XI007_H20/VPP_BM/inputs_1f1a2ef4995f878f255da6f6228aa1efecdd46a6ec73ee05679367e04ad8414b.mat,1f1a2ef4995f878f255da6f6228aa1efecdd46a6ec73ee05679367e04ad8414b,/Users/guichenxiang/Desktop/電力專案/StoreNet/results/b2022_ir_v1_formal/b2022_typical_v1_20200824/cases/AC_XI007_H20/VPP_BM/solution_7e99d06b033d0c724b9067c830ef6cdea218cbb03bb5f36b00f485f582e7b1cd.mat,7e99d06b033d0c724b9067c830ef6cdea218cbb03bb5f36b00f485f582e7b1cd,/Users/guichenxiang/Desktop/電力專案/StoreNet/results/b2022_ir_v1_formal/b2022_typical_v1_20200824/cases/AC_XI007_H20/VPP_BM/stages.csv,/Users/guichenxiang/Desktop/電力專案/StoreNet/results/b2022_ir_v1_formal/b2022_typical_v1_20200824/cases/AC_XI007_H20/VPP_BM/metrics.json,,,
24-Aug-2020,B2022_TYPICAL_V1,DC_XI000_H20,DC_XI000,XI_ZERO,H20_PV10,20,10,1,same_date_plus60_core,DC_SOURCE,0,release_literal,VPP_BM,MODEL_STRUCTURAL_PROXY,ok,,,25.9179491666667,1,1,10,3.3,36.671172405,17.345523299571,47.300160213056,0,18.87078,18.87078,33.29714113,13.971492024571,41.9600348571156,0,17.9361625,19.325649105429,67.59804,4.14851566374885e-05,67.59804,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,212.369746911467,239.405742120888,3.51316052272846e-17,138.223188757422,NaN,1.77635683940025e-14,1.11022302462516e-16,0,1.77635683940025e-14,0,0,0,0,0,0,0,8.88178419700125e-16,3.1641356201817e-15,0,0,4.2632564145606e-14,1,0,2,/Users/guichenxiang/Desktop/電力專案/StoreNet/results/b2022_ir_v1_formal/b2022_typical_v1_20200824/cases/DC_XI000_H20/VPP_BM/inputs_f0d0f7e15daca675ba9859506d7b291bdd23e389306dfb243240e3d43135eafc.mat,f0d0f7e15daca675ba9859506d7b291bdd23e389306dfb243240e3d43135eafc,/Users/guichenxiang/Desktop/電力專案/StoreNet/results/b2022_ir_v1_formal/b2022_typical_v1_20200824/cases/DC_XI000_H20/VPP_BM/solution_2c4b6b4521b923febd071e1bd82a05bcb5c210b8a8a6b8af826ba6ce3b2b8f18.mat,2c4b6b4521b923febd071e1bd82a05bcb5c210b8a8a6b8af826ba6ce3b2b8f18,/Users/guichenxiang/Desktop/電力專案/StoreNet/results/b2022_ir_v1_formal/b2022_typical_v1_20200824/cases/DC_XI000_H20/VPP_BM/stages.csv,/Users/guichenxiang/Desktop/電力專案/StoreNet/results/b2022_ir_v1_formal/b2022_typical_v1_20200824/cases/DC_XI000_H20/VPP_BM/metrics.json,,,
24-Aug-2020,B2022_TYPICAL_V1,OBSERVED_RELEASE_H20_PV10,OBSERVED_RELEASE_PAIR,OBSERVED_PRIMARY,H20_PV10,20,10,1,same_date_plus60_core,OBSERVED_RELEASE_FIELDS,NaN,release_literal,SB_SC,OBSERVED_RELEASE_PROXY,ok,,,0.0828147916666667,NaN,NaN,NaN,NaN,36.671172405,5.80189986,15.8214190588816,0,18.87078,18.87078,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33.226325705,2.35705316,7.09393262717973,0,30.869272545,33.71518,14.96142,31.64666,232.23118,153.0523,NaN,NaN,0.94446,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,/Users/guichenxiang/Desktop/電力專案/StoreNet/results/b2022_ir_v1_formal/b2022_typical_v1_20200824/observed_cases/H20_PV10/SB_SC/inputs_e234dfab17d9f14f46118c4c4af97cc590fd11097b42b7c57622fee3b159a330.mat,e234dfab17d9f14f46118c4c4af97cc590fd11097b42b7c57622fee3b159a330,/Users/guichenxiang/Desktop/電力專案/StoreNet/results/b2022_ir_v1_formal/b2022_typical_v1_20200824/observed_cases/H20_PV10/SB_SC/solution_559c02eeaf0af9b6aa48f879bd01d9ebe7a1510c6c5972f46f9fbb92939f7c0b.mat,559c02eeaf0af9b6aa48f879bd01d9ebe7a1510c6c5972f46f9fbb92939f7c0b,,/Users/guichenxiang/Desktop/電力專案/StoreNet/results/b2022_ir_v1_formal/b2022_typical_v1_20200824/observed_cases/H20_PV10/SB_SC/metrics.json,12f0d86ba685f0eab0eecf8a5b1e3eb1efa3606fefb2e271f94d5ce86258546d,/Users/guichenxiang/Desktop/電力專案/StoreNet/results/b2022_ir_v1_formal/b2022_typical_v1_20200824/observed_cases/H20_PV10/SB_SC/profiles.csv,aa2498099274fe31ed5b3270fac8961ce47005a384460e8da242e482d091196e
24-Aug-2020,B2022_TYPICAL_V1,OBSERVED_RELEASE_H19_EXCL_H4_PV9,OBSERVED_RELEASE_PAIR,OBSERVED_H4_PAIR,H19_EXCL_H4_PV9,19,9,1,same_date_plus60_core,OBSERVED_RELEASE_FIELDS,NaN,release_literal,SB_SC,OBSERVED_RELEASE_PROXY,ok,,,0.022955375,NaN,NaN,NaN,NaN,35.070142815,5.43809059,15.5063257617361,0,18.60514,18.60514,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32.013716755,2.38166453,7.43951271958457,0,29.632052225,33.5856,14.73278,31.85529,223.14287,150.59827,NaN,NaN,0.92742,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,/Users/guichenxiang/Desktop/電力專案/StoreNet/results/b2022_ir_v1_formal/b2022_typical_v1_20200824/observed_cases/H19_EXCL_H4_PV9/SB_SC/inputs_a7efbf34768c6fc75015d47bd5183f09420d702efed404f8c0a0ac4600e23fab.mat,a7efbf34768c6fc75015d47bd5183f09420d702efed404f8c0a0ac4600e23fab,/Users/guichenxiang/Desktop/電力專案/StoreNet/results/b2022_ir_v1_formal/b2022_typical_v1_20200824/observed_cases/H19_EXCL_H4_PV9/SB_SC/solution_ec6ad9bf35c4caab79d2ffe2df1bad2e7bd9063ed152f1cbade70bf639374e18.mat,ec6ad9bf35c4caab79d2ffe2df1bad2e7bd9063ed152f1cbade70bf639374e18,,/Users/guichenxiang/Desktop/電力專案/StoreNet/results/b2022_ir_v1_formal/b2022_typical_v1_20200824/observed_cases/H19_EXCL_H4_PV9/SB_SC/metrics.json,3227e322cf4660bbbe600bf131f401b0969cf9793f6c143e78135f0d572521ef,/Users/guichenxiang/Desktop/電力專案/StoreNet/results/b2022_ir_v1_formal/b2022_typical_v1_20200824/observed_cases/H19_EXCL_H4_PV9/SB_SC/profiles.csv,081ed1e4b6ac0a94745fee5ae052cecaf535b7bc05fc2b3c068a50deab81bd98
