Day,MinimumChargeForP0EURPerKW,PeakAtMinimumChargeKW,BillPenaltyAtMinimumChargeEUR,P0KW,LargestChargeTested,P0ReachedWithinGrid
2020-01-01,NaN,NaN,NaN,NaN,NaN,0
2020-01-02,1,11.1135718427055,11.1419709142078,18.175861,1,1
2020-01-15,1,13.1681137393887,11.2762727091144,22.857254,1,1
2020-01-16,0.05,28.8882537631579,1.44441202110102e-07,30.6840095,1,1
2020-02-01,1,11.4522026047358,10.6506891985725,20.613763,1,1
2020-02-02,1,11.9452802977879,10.6440689003058,16.6183245,1,1
2020-02-15,1,12.8943556213029,10.5176272115227,21.9325045,1,1
2020-02-16,1,11.883567159094,10.8301809347818,17.7310015,1,1
2020-03-01,1,11.046644,10.4015371238829,17.5689575,1,1
2020-03-02,1,13.5469908071749,9.9942525516424,17.902966,1,1
2020-03-15,1,17.1992355,6.9343423680238,24.77737,1,1
2020-03-16,1,17.218543,8.5969914060345,23.714525,1,1
2020-04-01,1,12.3597674556733,10.3032240087769,21.5824885,1,1
2020-04-02,1,10.3019506199001,8.2755750107632,17.432523,1,1
2020-04-15,0.05,12.6658318482452,0.000755869799300868,17.2670585,1,1
2020-04-16,1,11.319608794143,4.6528761594966,14.3783125,1,1
2020-05-01,1,13.0867534441289,9.1075451697084,22.565423,1,1
2020-05-02,1,11.518780629102,9.1982834649279,18.5347365,1,1
2020-05-15,0.05,10.2651481872216,0.00296631422020077,14.622626,1,1
2020-05-16,1,10.2465377174849,6.0191887881019,13.4446845,1,1
2020-06-01,1,13.7905564434458,10.5325377598839,25.7949115,1,1
2020-06-02,1,11.7287592965206,10.2346639362398,17.7709165,1,1
2020-06-15,0.05,11.518840722154,0.0153894188532,14.4712795,1,1
2020-06-16,1,9.41899725293468,8.4240965977233,14.727853,1,1
2020-07-01,1,14.136271590449,11.3328690729833,21.141624,1,1
2020-07-02,1,12.8526270000002,10.3411936909156,24.4455305,1,1
2020-07-15,1,9.14856044852998,7.308660202348,13.431552,1,1
2020-07-16,0.05,10.9212011847418,0.00820103368430125,13.8189275,1,1
2020-08-01,1,14.5668905997109,11.1973380809995,24.74936,1,1
2020-08-02,1,12.5852053363229,10.5913982920647,23.2809665,1,1
2020-08-15,1,11.6817434408913,8.1940902036922,18.28414,1,1
2020-08-16,1,11.2787548944875,11.6555469578309,19.8687105,1,1
2020-09-01,1,13.6958679479965,11.3860758371517,20.261546,1,1
2020-09-02,1,12.2977281101864,11.347877418484,18.825119,1,1
2020-09-15,1,11.0371635727895,10.5933544826412,17.280066,1,1
2020-09-16,1,10.1531761312074,8.4254067299127,15.0258605,1,1
2020-10-01,1,14.3303917809803,10.2854232355115,25.3783045,1,1
2020-10-02,1,13.6738619605237,10.6327677510249,23.006571,1,1
2020-10-15,1,9.05431021433963,5.3647592476161,14.855774,1,1
2020-10-16,0.05,14.4246163480862,-8.96620022672323e-09,17.5111735,1,1
2020-11-01,1,14.6759249906661,10.4816365965073,25.7987325,1,1
2020-11-02,1,11.41484,9.4845229425945,18.2003795,1,1
2020-11-15,0.05,24.6271205263158,1.23135599494617e-07,25.2639187236842,1,1
2020-11-16,1,13.4664343291736,10.5624043025805,24.038322930622,1,1
2020-12-01,0.05,27.3499452631579,1.36749797263747e-07,29.0186035,1,1
2020-12-02,1,13.3039274733285,10.8503447457496,23.9856345,1,1
2020-12-15,NaN,NaN,NaN,NaN,NaN,0
2020-12-16,NaN,NaN,NaN,NaN,NaN,0
