Day,CapRatio,CapKW,Status,Feasible,BillEUR,PeakKW,NightPeakKW,DaytimePeakKW,PaperSavingsPercent,EngineeringSavingsPercent,BatteryThroughputKWh,CapViolationKW,BillPenaltyVsVppEUR,BillPenaltyPercentOfVpp,PaperSavingsSacrificePP,PeakReductionVsVppKW,PeakReductionVsVppPercent,PeakReductionVsLexKW,BillPenaltyVsLexEUR,MarginalCostEURPerKW,MarginalCostReferenceRatio,IsKnee,KneeChordDistance,MaximumRelativeMipGapPercent,WallTimeSeconds,EnergyBalanceResidualKW,TerminalSocErrorKWh
2020-01-01,2,NaN,quality_rejected,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,0,NaN,NaN
2020-01-01,1.5,NaN,quality_rejected,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,0,NaN,NaN
2020-01-01,1.25,NaN,quality_rejected,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,0,NaN,NaN
2020-01-01,1,NaN,quality_rejected,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,0,NaN,NaN
2020-01-01,0.9,NaN,quality_rejected,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,0,NaN,NaN
2020-01-01,0.8,NaN,quality_rejected,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,0,NaN,NaN
2020-01-01,0.7,NaN,quality_rejected,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,0,NaN,NaN
2020-01-01,0.6,NaN,quality_rejected,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,0,NaN,NaN
2020-01-01,0.5,NaN,quality_rejected,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,0,NaN,NaN
2020-01-02,2,36.351722,ok,1,24.4515756868123,36.351722,36.351722,1.2458090115075e-13,40.6917843780865,36.8836234132556,308.430071150613,7.105427357601e-15,4.59160679966431e-06,1.87783712620603e-05,1.11371147966111e-05,43.5009211671284,54.4764950060359,-11.4811816076857,4.59160679966431e-06,NaN,NaN,0,0,1.87783673615387e-07,2.49089179166667,8.40993941153556e-14,0
2020-01-02,1.5,27.2637915,ok,1,24.4515710952055,27.2637915,27.2637915,3.34177130412172e-14,40.6917955152013,36.8836352654809,308.434333331068,7.105427357601e-15,0,0,0,52.5888516671284,65.857371254527,-2.3932511076857,0,-5.05242288072549e-07,2,0,0.25253837087938,3.98946210879917e-07,2.6056015,3.40838468559923e-14,0
2020-01-02,1.25,22.71982625,ok,1,25.9964176609599,22.71982625,22.71982625,7.17550686016592,36.9447121207373,32.8959528820719,267.567253333861,3.5527136788005e-15,1.5448465657544,6.31798488424048,3.747083394464,57.1328169171284,71.5478093787725,2.1507141423143,1.5448465657544,0.339977636438658,1.5,1,0.282659376629396,3.16039729549326e-07,1.21775341666667,2.41473507855972e-15,0
2020-01-02,1,18.175861,ok,1,29.6009349896882,18.175861,18.175861,12.2467435,28.2018198963954,23.5916824314703,189.328376678777,3.90798504668055e-14,5.1493638944827,21.0594397980929,12.4899756188059,61.6767821671284,77.238247503018,6.6946793923143,5.1493638944827,0.793253717934639,1.25,0,0.184590758431161,4.39847476072607e-14,1.05504858333333,4.39648317751562e-14,0
2020-01-02,0.9,16.3582749,ok,1,31.1292565428211,16.3582749,16.3582749,15.6917345,24.4948185409893,19.6466557416277,154.792034104565,7.105427357601e-15,6.6776854476156,27.3098420613347,16.196976974212,63.4943682671284,79.5144227527162,8.5122654923143,6.6776854476156,0.840852355293046,1,0,0.139978821060719,1.32612103797475e-07,0.738462041666667,3.5527136788005e-15,0
2020-01-02,0.8,14.5406888,ok,1,32.6575698397216,14.5406888,14.5406888,14.5406888,20.7878372113854,15.7016503634375,120.259947320295,7.105427357601e-15,8.2059987445161,33.5602105589246,19.9039583038159,65.3119543671284,81.7905980024144,10.3298515923143,8.2059987445161,0.840847812876926,0.9,0,0.095367397541008,1.6779829149469e-14,1.86212033333333,3.77475828372553e-15,0
2020-01-02,0.7,12.7231027,ok,1,34.1961857774477,12.7231027,12.7231027,12.7231027,17.0558664393263,11.7300509789339,86.7408019801836,2.8421709430404e-14,9.7446146822422,39.852713939322,23.635929075875,67.1295404671284,84.0667732521126,12.1474376923143,9.7446146822422,0.846516122524319,0.8,0,0.0501147590869253,1.0778976803846e-08,1.19619508333333,1.22816253694813e-14,0
2020-01-02,0.6,10.9055166,ok,1,35.8129232308244,10.9055166,10.9055166,10.9055166,13.1344089955592,7.55679804602574,64.9666193718181,3.5527136788005e-15,11.3613521356189,46.4647121912205,27.5573865196421,68.9471265671284,86.3429485018108,13.9650237923143,11.3613521356189,0.889497038614402,0.7,0,0,0,1.65235954166667,2.66453525910038e-15,0
2020-01-02,0.5,9.0879305,infeasible,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,0.762446,NaN,NaN
2020-01-15,2,45.714508,ok,1,29.2608774081312,45.714508,45.714508,8.59282,39.5947482060388,35.0780950873314,322.26679570749,1.4210854715202e-14,9.9475983006414e-14,3.39962406522955e-13,0,38.8369462105263,45.9329133640037,-18.7291821119923,9.9475983006414e-14,NaN,NaN,0,0,0,1.38095279166667,5.55111512312578e-15,0
