DemandChargeEURPerKW,PlannedDays,FeasibleDays,DaysPeakAtOrBelowP0,DaysPeakAtOrBelowLex,MeanPeakKW,MeanPeakRatioToP0,MaxPeakRatioToP0,MeanPeakReductionVsVppKW,SummedBillPenaltyVsVppEUR,MeanBillPenaltyVsVppEUR,MeanPaperSavingsSacrificePP,MeanTotalCostSavingVsVppUnderTariffEUR,DaysConsistentWithFrontier,MaxGapAboveFrontierLowerBoundEUR
0.05,48,45,8,17,23.0046549129955,1.15511371675819,1.51175686021084,44.1756331169626,0.0286515761787989,0.000636701692862197,0.00186383588022052,2.20814495415527,45,0.00296631422020077
0.1,48,45,8,17,23.0046546384079,1.15511370271085,1.51175685957505,44.1756333915502,0.0286529991217961,0.000636733313817691,0.00186386242353388,4.41692660584121,45,0.00296631079720022
0.2,48,45,8,17,23.0046541893553,1.15511368117551,1.51175685847531,44.1756338406028,0.0286707313676047,0.000637127363724548,0.00186472812388535,8.83448964075684,45,0.00296630480640125
0.5,48,45,8,17,23.0046511287005,1.15511354095267,1.51175685611204,44.1756369012576,0.0287914807349008,0.000639810682997795,0.00187049578091797,22.0871786399458,45,0.0029662916233999
1,48,45,45,45,12.1300527078136,0.613129428959384,0.787269632242518,55.0502353221446,402.300174931952,8.94000388737671,20.3397035417478,46.1102314347679,45,2.0476256224869
