Day,Strategy,ReferenceKind,BillEUR,ReferenceBillEUR,BillRelativeDifference,PeakKW,ReferencePeakKW,PeakRelativeDifference,CapDifferenceKW,Tolerance,Passed
2020-01-02,VPP_BM,formal,24.4515710952055,24.4515710952055,0,79.8526431671284,79.8526431671284,0,NaN,1e-06,1
2020-01-02,PS,formal,36.1715093388375,36.1715093388375,0,10.6090591479369,10.6090591479369,0,NaN,1e-06,1
2020-01-15,VPP_BM,formal,29.2608774081311,29.2608774081311,0,84.5514542105263,84.5514542105263,0,NaN,1e-06,1
2020-01-15,PS,formal,41.6570432187123,41.6570432187123,0,12.2400586746915,12.2400586746915,0,NaN,1e-06,1
2020-01-16,VPP_BM,formal,39.1521338324814,39.1521338324814,0,69.7450989473684,69.7450989473684,0,NaN,1e-06,1
2020-01-16,PS,formal,50.8264192621114,50.8264192621114,0,15.0973359515321,15.0973359515321,0,NaN,1e-06,1
2020-02-01,VPP_BM,formal,27.201245979818,27.201245979818,0,67.4863957894737,67.4863957894737,0,NaN,1e-06,1
2020-02-01,PS,formal,38.1830677098123,38.1830677098123,0,11.1947752153016,11.1947752153016,0,NaN,1e-06,1
2020-02-02,VPP_BM,formal,24.9107123536286,24.9107123536286,0,82.3908342105263,82.3908342105263,0,NaN,1e-06,1
2020-02-02,PS,formal,36.560725701267,36.560725701267,0,10.9869269262222,10.9869269262222,0,NaN,1e-06,1
2020-02-15,VPP_BM,formal,30.3904003371308,30.3904003371308,0,82.0704492105263,82.0704492105263,0,NaN,1e-06,1
2020-02-15,PS,formal,41.7463096981428,41.7463096981428,0,12.2336818015077,12.2336818015077,0,NaN,1e-06,1
2020-02-16,VPP_BM,formal,27.6877608678395,27.6877608678395,0,74.2410157894737,74.2410157894737,0,NaN,1e-06,1
2020-02-16,PS,formal,39.0063658977821,39.0063658977821,0,11.4315786141175,11.4315786141175,0,NaN,1e-06,1
2020-03-01,VPP_BM,formal,23.6884277515283,23.6884277515283,0,79.2240289631067,79.2240289631067,0,NaN,1e-06,1
2020-03-01,PS,formal,34.0899628108155,34.0899628108155,0,11.0466451046644,11.0466451046644,0,NaN,1e-06,1
2020-03-02,VPP_BM,formal,25.4351374272709,25.4351374272709,0,78.3341842105263,78.3341842105263,0,NaN,1e-06,1
2020-03-02,PS,formal,35.4293873826187,35.4293873826187,0,13.546992161874,13.546992161874,0,NaN,1e-06,1
2020-03-15,VPP_BM,formal,27.3147984834833,27.3147984834833,0,58.4853157894737,58.4853157894737,0,NaN,1e-06,1
2020-03-15,PS,formal,39.9135791717826,39.9135791717826,0,11.8733357339826,11.8733357339826,0,NaN,1e-06,1
2020-03-16,VPP_BM,formal,43.856646698458,43.856646698458,0,77.0285757894737,77.0285757894737,0,NaN,1e-06,1
2020-03-16,PS,formal,53.9844635920507,53.9844635920507,0,15.7849314568876,15.7849314568876,0,NaN,1e-06,1
2020-04-01,VPP_BM,formal,28.7443043798138,28.7443043798138,0,80.4415042105263,80.4415042105263,0,NaN,1e-06,1
2020-04-01,PS,formal,39.8202300442205,39.8202300442205,0,11.6433426209518,11.6433426209518,0,NaN,1e-06,1
2020-04-02,VPP_BM,formal,20.1439120378291,20.1439120378291,0,64.8598303878116,64.8598303878116,0,NaN,1e-06,1
2020-04-02,PS,formal,29.4117582149364,29.4117582149364,0,9.45320234766963,9.45320234766963,0,NaN,1e-06,1
2020-04-15,VPP_BM,formal,13.2411445276038,13.2411445276038,0,43.4498102726345,43.4498102726345,0,NaN,1e-06,1
2020-04-15,PS,formal,17.9082707578956,17.9082707578956,0,7.60865108946108,7.60865108946108,0,NaN,1e-06,1
2020-04-16,VPP_BM,formal,17.0873928899223,17.0873928899223,0,47.4889244782776,47.4889244782776,0,NaN,1e-06,1
2020-04-16,PS,formal,21.7402662535505,21.7402662535505,0,11.3196099261039,11.3196099261039,0,NaN,1e-06,1
2020-05-01,VPP_BM,formal,34.5149644927198,34.5149644927198,0,79.8157942105263,79.8157942105263,0,NaN,1e-06,1
2020-05-01,PS,formal,43.8126013859786,43.8126013859786,0,12.9326235719625,12.9326235719625,0,NaN,1e-06,1
2020-05-02,VPP_BM,formal,22.5323642826615,22.5323642826615,0,72.4546278265372,72.4546278265372,0,NaN,1e-06,1
2020-05-02,PS,formal,31.8269255763296,31.8269255763296,0,11.4241297138414,11.4241297138414,0,NaN,1e-06,1
2020-05-15,VPP_BM,formal,11.0638236526886,11.0638236526886,0,26.4239437617729,26.4239437617729,0,NaN,1e-06,1
2020-05-15,PS,formal,13.2882514448385,13.2882514448385,0,7.98411571227885,7.98411571227885,0,NaN,1e-06,1
2020-05-16,VPP_BM,formal,17.3467138009628,17.3467138009628,0,55.0748693534775,55.0748693534775,0,NaN,1e-06,1
2020-05-16,PS,formal,23.3658969801671,23.3658969801671,0,10.2465387421387,10.2465387421387,0,NaN,1e-06,1
2020-06-01,VPP_BM,formal,32.6468087518901,32.6468087518901,0,57.9190731578947,57.9190731578947,0,NaN,1e-06,1
2020-06-01,PS,formal,44.1777644627625,44.1777644627625,0,12.9506671893372,12.9506671893372,0,NaN,1e-06,1
2020-06-02,VPP_BM,formal,23.8512933073022,23.8512933073022,0,58.3253767112622,58.3253767112622,0,NaN,1e-06,1
2020-06-02,PS,formal,35.3164985657655,35.3164985657655,0,10.8321575374117,10.8321575374117,0,NaN,1e-06,1
2020-06-15,VPP_BM,formal,12.0590333708069,12.0590333708069,0,34.9083658725762,34.9083658725762,0,NaN,1e-06,1
2020-06-15,PS,formal,16.5902849130716,16.5902849130716,0,6.85987107084566,6.85987107084566,0,NaN,1e-06,1
2020-06-16,VPP_BM,formal,19.3101798620257,19.3101798620257,0,56.8940989417092,56.8940989417092,0,NaN,1e-06,1
2020-06-16,PS,formal,28.7942111296856,28.7942111296856,0,8.42360850572747,8.42360850572747,0,NaN,1e-06,1
