Day,DemandChargeEURPerKW,Status,Feasible,P0KW,BillEUR,PeakKW,NightPeakKW,ObjectiveWithDemandChargeEUR,PaperSavingsPercent,BillPenaltyVsVppEUR,PaperSavingsSacrificePP,PeakReductionVsVppKW,PeakRatioToP0,PeakAtOrBelowP0,PeakAtOrBelowLex,VppTotalCostUnderTariffEUR,TotalCostSavingVsVppUnderTariffEUR,FrontierLowerBoundCapRatio,FrontierLowerBoundBillEUR,GapAboveFrontierLowerBoundEUR,ConsistentWithFrontier,MaximumRelativeMipGapPercent
2020-01-01,0.05,quality_rejected,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,0,NaN
2020-01-01,0.1,quality_rejected,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,0,NaN
2020-01-01,0.2,quality_rejected,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,0,NaN
2020-01-01,0.5,quality_rejected,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,0,NaN
2020-01-01,1,quality_rejected,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,0,NaN
2020-01-02,0.05,ok,1,18.175861,24.4515756773364,24.8705490316884,24.8705490316884,25.6951031289209,40.6917844010706,4.58213089871151e-06,1.11141307002072e-05,54.98209413544,1.3683285227417,0,0,28.4442032535619,2.74910012464102,1.5,24.4515710952055,4.58213089871151e-06,1,1.88514242151218e-07
2020-01-02,0.1,ok,1,18.175861,24.4515710771919,24.8705439765846,24.8705439765846,26.9386254748503,40.6917955588941,-1.80136012772891e-08,-4.36928004887704e-08,54.9820991905438,1.36832824461986,0,0,32.4368354119183,5.49820993706804,1.5,24.4515710952055,-1.80136012772891e-08,1,0
2020-01-02,0.2,ok,1,18.175861,24.451571062424,24.870543960356,24.870543960356,29.4256798544952,40.6917955947142,-3.2781500181045e-08,-7.95129011521567e-08,54.9820992067724,1.368328243727,0,0,40.4220997286312,10.996419874136,1.5,24.4515710952055,-3.2781500181045e-08,1,0
2020-01-02,0.5,ok,1,18.175861,24.4515756222955,24.8705489712038,24.8705489712038,36.8868501078974,40.6917845345745,4.52708999887363e-06,1.09806267971635e-05,54.9820941959246,1.36832851941395,0,0,64.3778926787697,27.4910425708723,1.5,24.4515710952055,4.52708999887363e-06,1,1.92872596857252e-07
2020-01-02,1,ok,1,18.175861,35.5935420094133,11.1135718427055,11.1135718427055,46.7071138521188,13.6665263915708,11.1419709142078,27.0252691236305,68.7390713244229,0.611446788831929,1,1,104.304214262334,57.5971004102151,0.7,34.1961857774477,1.3973562319656,1,0
