Day,OriginalLoadPeakKW,P0KW,PaperLoadOnlyBaselineBillEUR,PvSelfNoBatteryBaselineBillEUR,VppBillEUR,VppPeakKW,VppNightPeakKW,VppDaytimePeakKW,VppPaperSavingsPercent,VppThroughputKWh,LexBillEUR,LexPeakKW,LexNightPeakKW,LexDaytimePeakKW,LexPaperSavingsPercent,LexThroughputKWh,LexStatus,BillDifferenceLexMinusVppEUR,BillDifferenceWithinAllowance,FreePeakReductionKW,FreePeakReductionPercent,VppPeakExcessOverP0KW,LexPeakExcessOverP0KW,LexPeakRatioToP0,LexPeakAtOrBelowP0,FreeShareOfExcessOverP0Percent,PsBillEUR,PsPeakKW,PsPaperSavingsPercent,TotalReduciblePeakKW,FreeShareOfReduciblePeakPercent,PsBillPenaltyEUR
2020-01-02,18.2204,18.175861,41.22797395,38.74046168225,24.4515710952055,79.8526431671284,79.8526431671284,6.66133814775094e-16,40.6917955152013,308.434210282316,24.4515710952055,24.8705403923143,24.8705403923143,1.69056677309931e-05,40.6917955152013,308.435599269259,ok,0,1,54.9821027748141,68.8544556499385,61.6767821671284,6.6946793923143,1.36832804742038,0,89.1455436598923,36.1715093388375,10.6090591479369,12.2646449163251,69.2435840191915,79.4038950375176,11.719938243632
2020-01-15,22.874905,22.857254,48.44094932,45.07088547,29.2608774081311,84.5514542105263,84.5514542105263,8.43996556393533,39.5947482060388,322.266795707504,29.2608774081311,26.9853258880077,26.9853258880077,8.59282,39.5947482060388,322.267278732906,ok,0,1,57.5661283225186,68.0841374758423,61.6942002105263,4.1280718880077,1.18060226692181,0,93.308816916467,41.6570432187123,12.2400586746915,14.0044862797245,72.3113955358348,79.6086535129736,12.3961658105812
2020-01-16,30.69882,30.6840095,56.26595101,53.933752839,39.1521338324814,69.7450989473684,69.7450989473684,15.1974295,30.4159387166086,320.13453448056,39.1521338324814,28.8882512012452,28.8882512012452,15.8854312617301,30.4159387166085,320.135434359638,ok,0,1,40.8568477461232,58.5802419994485,39.0610894473684,-1.7957582987548,0.941475761218403,1,104.597307254255,50.8264192621114,15.0973359515321,9.66753720544399,54.6477629958363,74.7639894230184,11.67428542963
2020-02-01,20.61477,20.613763,41.51858796,40.884242918,27.201245979818,67.4863957894737,67.4863957894737,7.55566,34.4841736765607,319.999928048106,27.201245979818,24.3619474124107,24.3619474124107,5.4388896,34.4841736765607,319.999928048106,ok,0,1,43.124448377063,63.9009505139248,46.8726327894737,3.7481844124107,1.18182921829511,0,92.0034694248017,38.1830677098123,11.1947752153016,8.03379983298387,56.2916205741721,76.6090013703558,10.9818217299943
2020-02-02,16.62012,16.6183245,40.97857969,38.454787489,24.9107123536286,82.3908342105263,82.3908342105263,2.68673971959288e-14,39.2104056751689,301.547372703501,24.9107123536286,25.1228623866019,25.1228623866019,1.73238190081526e-05,39.2104056751689,301.548669953895,ok,0,1,57.2679718239244,69.5076975159548,65.7725097105263,8.5045378866019,1.5117566386793,0,87.0697683210942,36.560725701267,10.9869269262222,10.7808860681697,71.4039072843041,80.2028544403101,11.6500133476384
2020-02-15,21.94988,21.9325045,45.63827601,44.4048580125,30.3904003371308,82.0704492105263,82.0704492105263,14.39623,33.4102797168065,320.131319800459,30.3904003371308,25.8390436161279,25.8390436161279,14.58503,33.4102797168065,320.131898324398,ok,0,1,56.2314055943984,68.516020242748,60.1379447105263,3.9065391161279,1.17811641694308,0,93.5040362038776,41.7463096981428,12.2336818015077,8.52785567755551,69.8367674090186,80.5183396663586,11.355909361012
2020-02-16,17.74034,17.7310015,44.743993995,42.037681107,27.6877608678395,74.2410157894737,74.2410157894737,7.85275995324353,38.1196035585614,319.999926761192,27.6877608678395,25.3931934478029,25.3931934478029,9.1120055,38.1196035585613,319.999926761191,ok,0,1,48.8478223416708,65.7962742322778,56.5100142894737,7.6621919478029,1.43213531665444,0,86.4410015744233,39.0063658977821,11.4315786141175,12.8232363383989,62.8094371753562,77.7714696046292,11.3186050299426
2020-03-01,17.58411,17.5689575,41.80438889,38.226946004,23.6884277515283,79.2240289631067,79.2240289631067,4.44089209850063e-16,43.3350698801991,293.904715593724,23.6884277515283,24.0142007878007,24.0142007878007,1.64156170620045e-05,43.3350698801991,293.905944835711,ok,0,1,55.209828175306,69.6882358772946,61.6550714631067,6.4452432878007,1.36685405424885,0,89.5462885130911,34.0899628108155,11.0466451046644,18.4536272004443,68.1773838584423,80.9796813118247,10.4015350592872
2020-03-02,17.91524,17.902966,42.35766349,39.7284568165,25.4351374272709,78.3341842105263,78.3341842105263,2.97210454829333e-05,39.9515097586162,281.695404734475,25.4351374272709,25.9582615292193,25.9582615292193,2.97210458192199e-05,39.9515097586161,281.695404734475,ok,0,1,52.375922681307,66.8621537444554,60.4312182105263,8.0552955292193,1.44994195538434,0,86.6703075533629,35.4293873826187,13.546992161874,16.3566059516406,64.7871920486523,80.8430200864007,9.9942499553478
2020-03-15,24.78972,24.77737,54.44827001,46.5397998475,27.3147984834833,58.4853157894737,58.4853157894737,2.26038778,49.8334869437236,322.182054020847,27.3147984834833,25.8817365485808,25.8817365485808,2.39671377203472,49.8334869437236,322.182480644493,ok,0,1,32.6035792408929,55.7466071624785,33.7079457894737,1.1043665485808,1.04457158078443,0,96.7237204085997,39.9135791717826,11.8733357339826,26.6944952255562,46.6119800554911,69.9467802098917,12.5987806882993
