Strategy,SuccessfulDays,RequestedDays,MeanSavingsPercent,MeanPeakImportKW,MeanOptimizedBillEUR
SH_BM,45,48,28.2796627415993,61.956255923819,29.1642732497394
VPP_BM,45,48,37.1071408889372,67.1802880299581,25.7900611772123
PS,45,48,12.5303035242953,11.2689216779311,35.7238197250462
PSDT,45,48,37.1064291562378,64.605260017863,25.790445193885
LL,44,48,6.96882611859421,11.2757197156164,37.3742112244993
