Day,Strategy,Status,ErrorIdentifier,ErrorMessage,WallTimeSeconds,BatteryCapacityKWh,BatteryPowerKW,BaselineBillEUR,OptimizedBillEUR,SavingsEUR,SavingsPercent,BaselinePeakImportKW,PeakImportKW,DaytimePeakImportKW,ImportSpreadKW,TotalGridImportKWh,TotalBatteryThroughputKWh,EnergyBalanceResidualKW,TerminalSocErrorKWh,SimultaneousChargeDischargeKW,MinimumExitFlag
01-Jan-2020,SH_BM,quality_rejected,StoreNet:QualityRejected,"Day 2020-01-01 fails release_literal: physical_incomplete:H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20.",0,10,3.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
01-Jan-2020,VPP_BM,quality_rejected,StoreNet:QualityRejected,"Day 2020-01-01 fails release_literal: physical_incomplete:H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20.",0,10,3.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
01-Jan-2020,PS,quality_rejected,StoreNet:QualityRejected,"Day 2020-01-01 fails release_literal: physical_incomplete:H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20.",0,10,3.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
01-Jan-2020,PSDT,quality_rejected,StoreNet:QualityRejected,"Day 2020-01-01 fails release_literal: physical_incomplete:H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20.",0,10,3.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
01-Jan-2020,LL,quality_rejected,StoreNet:QualityRejected,"Day 2020-01-01 fails release_literal: physical_incomplete:H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20.",0,10,3.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
02-Jan-2020,SH_BM,ok,,"",3.475878625,10,3.3,38.74046168225,27.7379896602636,11.0024720219864,28.4004669645624,18.175861,64.1528157243767,7.076768725,64.1528157243767,263.205606576249,236.692639460412,8.88178419700125e-16,0,0,1
02-Jan-2020,VPP_BM,ok,,"",2.667329375,10,3.3,38.74046168225,24.4515710952055,14.2888905870445,36.8836352654809,18.175861,79.8526431671284,6.66133814775094e-16,79.8526431671284,268.698583463797,308.434210282316,1.36002320516582e-15,0,0,1
02-Jan-2020,PS,ok,,"",4.96480679166667,10,3.3,38.74046168225,36.1715093388375,2.56895234341251,6.63118670211806,18.175861,10.6090591479369,10.6090591479369,0.866486647936885,253.392443513982,71.5301570617546,2.1316282072803e-14,0,0,1
02-Jan-2020,PSDT,ok,,"",3.62998816666667,10,3.3,38.74046168225,24.4515710952055,14.2888905870445,36.8836352654809,18.175861,54.4500589473684,2.22044604925031e-15,54.4500589473684,268.698583463797,308.434210282323,1.95121696577871e-14,0,0,1
02-Jan-2020,LL,ok,,"",3.42172679166667,10,3.3,38.74046168225,36.1722715506065,2.56819013164347,6.62921921970836,18.175861,10.6090581870311,10.6090581870311,0.858078187031072,253.400831114683,71.5320651622031,2.53130849614536e-14,0,0,1
15-Jan-2020,SH_BM,ok,,"",1.03132575,10,3.3,45.07088547,34.1886195929359,10.8822658770641,24.1447794148788,22.857254,67.1001626371191,10.29368,67.1001626371191,300.543613935559,225.641399852825,8.88178419700125e-16,0,0,1
15-Jan-2020,VPP_BM,ok,,"",1.52536891666667,10,3.3,45.07088547,29.2608774081311,15.8100080618689,35.0780950873315,22.857254,84.5514542105263,8.43996556393533,84.5514542105263,307.001192119504,322.266795707504,3.77475828372553e-15,0,0,1
15-Jan-2020,PS,ok,,"",3.75063183333333,10,3.3,45.07088547,41.6570432187123,3.41384225128771,7.57438469577001,22.857254,12.2400586746915,12.2400586746915,2.24127317469146,291.520126822875,114.902549616797,2.69055611124003e-15,0,0,1
15-Jan-2020,PSDT,ok,,"",2.25261670833333,10,3.3,45.07088547,29.2608774081311,15.8100080618689,35.0780950873315,22.857254,84.5514542105263,1.07100930751757,83.4804449030087,307.001207736697,322.268175478917,3.66373598126302e-15,0,0,1
15-Jan-2020,LL,ok,,"",2.63540970833333,10,3.3,45.07088547,41.6572127107025,3.41367275929748,7.57400863927929,22.857254,12.2400595105747,12.2400595105747,2.23945951057471,291.521968743214,114.902450630833,3.03757019537443e-13,0,0,1
16-Jan-2020,SH_BM,ok,,"",0.9135505,10,3.3,53.933752839,42.058744267097,11.875008571903,22.0177679965117,30.6840095,76.3451168698061,18.4186895,76.1133968698061,360.392182587106,255.914357594883,2.72004641033163e-15,0,0,1
16-Jan-2020,VPP_BM,ok,,"",3.41451870833333,10,3.3,53.933752839,39.1521338324814,14.7816190065186,27.4069914078552,30.6840095,69.7450989473684,15.1974295,69.7450989473684,366.516860386773,320.13453448056,1.33226762955019e-14,0,0,1
16-Jan-2020,PS,ok,,"",2.7386175,10,3.3,53.933752839,50.8264192621114,3.10733357688864,5.76138950716906,30.6840095,15.0973359515321,15.0973359515321,5.81637645153207,353.473768034481,131.310130289986,9.82547376793264e-15,0,0,1
16-Jan-2020,PSDT,ok,,"",2.43317558333333,10,3.3,53.933752839,39.1694191697326,14.7643336692674,27.3749422061191,30.6840095,90.5803442105263,4.69925188770757,85.8810923228188,366.605976225562,323.950421897712,4.44089209850063e-15,0,0,1
16-Jan-2020,LL,ok,,"",1.9298625,10,3.3,53.933752839,50.8264861816431,3.10726665735689,5.76126542989234,30.6840095,15.0973350233611,15.0973350233611,5.81562502336107,353.474506513943,131.31014592234,1.37667655053519e-14,0,0,1
01-Feb-2020,SH_BM,ok,,"",0.91970825,10,3.3,40.884242918,30.1777569798432,10.7064859381568,26.1873161247729,20.613763,72.0444023545706,12.095412,71.9308358545706,275.887113424589,241.59825391506,8.88178419700125e-16,0,0,1
01-Feb-2020,VPP_BM,ok,,"",2.69707408333333,10,3.3,40.884242918,27.201245979818,13.682996938182,33.4676539458625,20.613763,67.4863957894737,7.55566,67.4863957894737,282.53540142691,319.999928048106,1.77635683940025e-15,0,0,1
01-Feb-2020,PS,ok,,"",3.38429245833333,10,3.3,40.884242918,38.1830677098123,2.70117520818775,6.60688572271081,20.613763,11.1947752153016,11.1947752153016,1.13255071530164,267.542047176541,80.1529691949389,1.70419234279962e-14,0,0,1
01-Feb-2020,PSDT,ok,,"",2.14821329166667,10,3.3,40.884242918,27.201245979818,13.682996938182,33.4676539458624,20.613763,78.4191642105263,1.20592340225899,77.2132422553752,282.535437403055,320,8.88178419700125e-16,0,0,1
01-Feb-2020,LL,ok,,"",3.21966879166667,10,3.3,40.884242918,38.1834452856362,2.70079763236377,6.60596219864131,20.613763,11.1947742086621,11.1947742086621,1.12837920866214,267.546201799229,80.15448922897,3.5527136788005e-15,0,0,1
02-Feb-2020,SH_BM,ok,,"",0.705239208333333,10,3.3,38.454787489,28.4358904289265,10.0188970600735,26.05370544029,16.6183245,57.9281424930748,9.0662605,57.9281424930748,267.705092015126,220.444099793203,1.77635683940025e-15,0,0,1
02-Feb-2020,VPP_BM,ok,,"",1.361438,10,3.3,38.454787489,24.9107123536286,13.5440751353714,35.2207774890075,16.6183245,82.3908342105263,2.68673971959288e-14,82.3908342105263,273.744091798117,301.547372703501,6.15063555642337e-14,0,0,1
