Day,CapRatio,CapKW,Status,Feasible,BillEUR,PeakKW,NightPeakKW,DaytimePeakKW,PaperSavingsPercent,EngineeringSavingsPercent,BatteryThroughputKWh,CapViolationKW,BillPenaltyVsVppEUR,BillPenaltyPercentOfVpp,PaperSavingsSacrificePP,PeakReductionVsVppKW,PeakReductionVsVppPercent,PeakReductionVsLexKW,BillPenaltyVsLexEUR,MarginalCostEURPerKW,MarginalCostReferenceRatio,IsKnee,KneeChordDistance,MaximumRelativeMipGapPercent,WallTimeSeconds,EnergyBalanceResidualKW,TerminalSocErrorKWh
2020-08-24,3,53.8084875,ok,1,19.558045178632,53.8084875,53.8084875,4.38538094726937e-15,46.6664306157681,41.2620888313724,244.67141465351,7.105427357601e-15,0,0,0,21.6922967105263,28.7312203937373,-34.4619549982863,0,NaN,NaN,0,0,0,5.63733929166667,6.49480469405717e-15,0
2020-08-24,2.5,44.84040625,ok,1,19.558045178632,44.84040625,44.84040625,1.1518563880486e-14,46.6664306157681,41.2620888313724,244.671414653513,7.105427357601e-15,0,0,0,30.6603779605263,40.6093503281144,-25.4938737482863,0,0,3,0,0.141421356237309,0,3.09489741666667,1.0991207943789e-14,0
2020-08-24,2,35.872325,ok,1,19.558045178632,35.872325,35.872325,2.44249065417534e-14,46.6664306157681,41.2620888313724,244.671414653517,1.4210854715202e-14,0,0,0,39.6284592105263,52.4874802624915,-16.5257924982863,0,0,2.5,0,0.282842712474619,0,3.11705595833333,4.55191440096314e-15,0
2020-08-24,1.75,31.388284375,ok,1,19.558045178632,31.3882843750002,31.3882843750002,4.32986979603811e-15,46.6664306157681,41.2620888313723,244.671414653507,1.84741111297626e-13,0,0,0,44.1124998355261,58.4265452296798,-12.0417518732865,0,0,2,0,0.353553390593271,0,2.54910220833333,1.77635683940025e-13,0
2020-08-24,1.5,26.90424375,ok,1,19.558045178632,26.90424375,26.90424375,1.421172207694e-15,46.6664306157681,41.2620888313724,244.671414653507,1.4210854715202e-14,0,0,0,48.5965404605263,64.3656101968686,-7.5577112482863,0,0,1.75,0,0.424264068711928,0,2.56230241666667,2.73114864057789e-14,0
2020-08-24,1.25,22.420203125,ok,1,19.558045178632,22.420203125,22.420203125,1.7430501486615e-14,46.6664306157681,41.2620888313724,244.671414653512,1.06581410364015e-14,0,0,0,53.0805810855263,70.3046751640572,-3.0736706232863,0,0,1.5,0,0.494974746830583,0,2.395372375,2.84772205816353e-14,0
2020-08-24,1.1,19.72977875,ok,1,19.5580451786856,19.72977875,19.72977875,4.32986979603811e-15,46.6664306156219,41.2620888312114,244.67141460147,1.4210854715202e-14,5.35997912720632e-11,2.74054951721981e-10,1.46201273309998e-10,55.7710054605263,73.8681141443703,-0.383246248286301,5.35997912720632e-11,1.99224299965923e-11,1.25,1,0.537401153697512,2.73600854749569e-12,5.066619625,2.12607709215717e-14,0
2020-08-24,1,17.9361625,ok,1,20.5711012198149,17.9361625,17.9361625,7.2084505,43.9038899748672,38.2196172953695,217.875128316187,1.77635683940025e-14,1.0130560411829,5.17974077639266,2.7625406409009,57.5646217105263,76.2437401312458,1.4103700017137,1.0130560411829,0.564812033303834,1.1,0,0.485087471399532,0,2.3660975,6.21724893790088e-15,0
2020-08-24,0.95,17.039354375,ok,1,21.2610465533017,17.039354375,17.039354375,8.10415163362272,42.0224520817261,36.1475314943901,210.656223806713,3.5527136788005e-15,1.7030013746697,8.70742121267979,4.643978534042,58.4614298355263,77.4315531246835,2.3071781267137,1.7030013746697,0.769334391887675,1,0,0.444338090977148,0,3.276311125,7.72715225139109e-14,0
2020-08-24,0.9,16.14254625,ok,1,21.989049802167,16.14254625,16.14254625,8.58494,40.0372326269862,33.9611478465479,207.059066875516,3.5527136788005e-15,2.431004623535,12.4296912157201,6.6291979887819,59.3582379605263,78.6193661181212,3.2039862517137,2.431004623535,0.811771468802537,0.95,0,0.400560852300946,0,3.087265375,1.15463194561016e-14,0
2020-08-24,0.85,15.245738125,ok,1,22.7431309894813,15.2457381250002,15.2457381250002,9.96948,37.9809002605535,31.6964453474047,190.019673630356,1.97175609173428e-13,3.1850858108493,16.2852973380445,8.6855303552146,60.2550460855261,79.8071791115586,4.1007943767135,3.1850858108493,0.840850084085123,0.9,0,0.354708873051327,0,4.839819375,4.76702011198427e-14,0
2020-08-24,0.8,14.34893,ok,1,23.4972121767957,14.34893,14.34893,13.56448,35.9245678941207,29.4317428482614,172.980280385192,1.24344978758018e-14,3.9391669981637,20.1409034603694,10.7418627216474,61.1518542105263,80.9949921049966,4.9976025017137,3.9391669981637,0.840850084084853,0.85,0,0.308856893801706,1.51197257246555e-16,5.29430616666667,1.67643676718399e-14,0
2020-08-24,0.75,13.452121875,ok,1,24.2512933641101,13.452121875,13.452121875,13.452121875,33.868235527688,27.1670403491181,155.940887140032,5.32907051820075e-15,4.6932481854781,23.9965095826943,12.7981950880801,62.0486623355263,82.1828050984343,5.8944106267137,4.6932481854781,0.840850084085045,0.8,0,0.263004914552082,0,3.08537104166667,2.44249065417534e-14,0
2020-08-24,0.7,12.55531375,ok,1,25.0184941828745,12.55531375,12.55531375,12.5553137499998,31.7761267445507,24.8629361746214,139.133296639658,5.32907051820075e-15,5.4604490042425,27.9191961894447,14.8903038712174,62.9454704605263,83.370618091872,6.7912187517137,5.4604490042425,0.855479335409011,0.75,0,0.216109147591601,0,3.195103125,2.1094237467878e-13,0
2020-08-24,0.65,11.658505625,ok,1,25.8175990888393,11.658505625,11.658505625,11.658505625,29.5970175054476,22.4630157044378,122.692820810551,5.32907051820075e-15,6.2595539102073,32.0050079291469,17.0694131103205,63.8422785855263,84.5584310853097,7.6880268767137,6.2595539102073,0.89105448945927,0.7,0,0.166675116178127,6.9610622915126e-14,3.19970575,1.24344978758018e-14,0
2020-08-24,0.6,10.7616975,ok,1,26.6192086366729,10.7616975,10.7616975,10.7616975,27.4110782641803,20.0555731414142,105.945915115465,3.5527136788005e-15,7.0611634580409,36.1036258662268,19.2553523515878,64.7390867105263,85.7462440787475,8.5848350017137,7.0611634580409,0.893847329754734,0.65,0,0.117041817398592,0,3.93448225,1.77635683940025e-15,0
2020-08-24,0.55,9.864889375,ok,1,27.4682264680452,9.86488937500001,9.86488937500001,9.864889375,25.0958595905158,17.5057511370039,91.7413856067917,5.32907051820075e-15,7.9101812894132,40.4446416662101,21.5705710252523,65.6358948355263,86.9340570721852,9.48164312671369,7.9101812894132,0.946710681699395,0.6,0,0.0636367523206566,0,3.61809429166667,2.27595720048157e-15,0
2020-08-24,0.5,8.96808125,ok,1,28.4458489613999,8.96808125,8.96808125,8.96808125,22.4299440245837,14.5696957875737,78.9491909937362,3.5527136788005e-15,8.8878037827679,45.4432112288922,24.2364865911844,66.5327029605263,88.1218700656229,10.3784512517137,8.8878037827679,1.09011333205159,0.55,0,0,0,6.08816454166667,2.39808173319034e-14,0
