DemandChargeEURPerKW,PlannedDays,FeasibleDays,DaysPeakAtOrBelowP0,DaysPeakAtOrBelowLex,MeanPeakKW,MeanPeakRatioToP0,MaxPeakRatioToP0,MeanPeakReductionVsVppKW,SummedBillPenaltyVsVppEUR,MeanBillPenaltyVsVppEUR,MeanPaperSavingsSacrificePP,MeanTotalCostSavingVsVppUnderTariffEUR,DaysConsistentWithFrontier,MaxGapAboveFrontierLowerBoundEUR
0.02,1,1,0,0,19.3465354345413,1.07863292577447,1.07863292577447,56.154248775985,-4.19939993889784e-09,-4.19939993889784e-09,-1.14513980520314e-08,1.12308497971912,1,-4.2529997301699e-09
0.05,1,1,0,0,19.34653542798,1.07863292540865,1.07863292540865,56.1542487825463,-1.0170300157597e-08,-1.0170300157597e-08,-2.77337974807779e-08,2.80771244929761,1,-1.02238999488691e-08
0.1,1,1,0,0,19.3465354179103,1.07863292484724,1.07863292484724,56.154248792616,-1.93337008624894e-08,-1.93337008624894e-08,-5.27217025592108e-08,5.61542489859523,1,-1.93873006537615e-08
0.2,1,1,0,0,19.3465354004925,1.07863292387614,1.07863292387614,56.1542488100338,-3.51837989853721e-08,-3.51837989853721e-08,-9.5944002964643e-08,11.2308497971906,1,-3.52373987766441e-08
0.3,1,1,0,0,19.3465353859538,1.07863292306556,1.07863292306556,56.1542488245725,-4.84139981438148e-08,-4.84139981438148e-08,-1.32022002219401e-07,16.8462746957858,1,-4.84675979350868e-08
0.5,1,1,0,0,19.346535363063,1.07863292178932,1.07863292178932,56.1542488474633,-6.9244698863713e-08,-6.9244698863713e-08,-1.88825801217263e-07,28.0771244929764,1,-6.9298298654985e-08
1,1,1,1,1,10.0652729055259,0.561172040313858,0.561172040313858,65.4355113050004,7.6949322903343,7.6949322903343,20.983600429653,57.7405790146661,1,0.633768832293399
2,1,1,1,1,8.49824226737148,0.473804932764825,0.473804932764825,67.0025419431548,9.5059433757783,9.5059433757783,25.9221147085066,124.499140510531,1,0.618139593010401
