Month,Signal,CalendarDays,DaysWithDefinedSameTimestampPearsonR,DaysSameTimestampPassR0p99,MedianDailySameTimestampPearsonR,PooledSameTimestampMatchedFinitePoints,PooledSameTimestampPearsonR,PooledSameTimestampRMSE_W,PooledSameTimestampMAE_W,PooledSameTimestampP99AbsoluteError_W,DaysWithDefinedBestLagPearsonR,DaysBestLagPassR0p99,MedianDailyBestLagPearsonR,MedianBestWhTimestampOffsetMinutes,ModeBestWhTimestampOffsetMinutes,ModeBestWhTimestampOffsetDays,LagSearchMinimumMinutes,LagSearchMaximumMinutes,Unnamed6PresentRows,Unnamed6AbsentRows
2020-01,Production,31,24,17,0.9999996012913155,44303,0.4944772192841954,249.37054794226626,71.85572083154639,1244.9760000000038,24,23,0.9999998199626052,0.0,0,17,-1440,1440,19971,24609
2020-01,Consumption,31,31,16,0.9951166370224716,44303,0.4541097559563958,1638.477208830048,790.5518425670948,6045.07600000002,31,23,0.9997148017846963,0.0,0,17,-1440,1440,19971,24609
2020-02,Production,29,28,5,0.6772802618170679,40242,0.5787348834843812,263.8336506585073,98.62199940360817,1223.3899999999967,28,22,0.9999995986467656,60.0,60,17,-1440,1440,33055,8705
2020-02,Consumption,29,28,5,0.10556048195397601,40242,0.2203283191584399,1631.236317954952,936.0038218776402,5585.489999999962,28,21,0.9997996622210281,60.0,60,17,-1440,1440,33055,8705
2020-03,Production,31,31,5,0.7564105394584143,44479,0.6561368205026054,334.11110147592274,133.9123429033926,1559.4200000000012,31,25,0.9999998790744207,60.0,60,20,-1440,1440,37289,7351
2020-03,Consumption,31,31,5,0.14579795963492562,44479,0.2456420076549615,1652.228306849875,908.749836277088,6160.02400000001,31,24,0.9999827246785469,60.0,60,20,-1440,1440,37289,7351
2020-04,Production,30,30,5,0.7578500924123024,43154,0.733289232163302,350.83610236909925,156.55655327431987,1500.9520000000018,30,24,0.9999997422464559,60.0,60,19,-1440,1440,35967,7233
2020-04,Consumption,30,30,5,0.12126115279274173,43154,0.2907115336827147,1260.3729176435863,604.989173657135,4527.670000000001,30,24,0.9999390466570008,60.0,60,19,-1440,1440,35967,7233
2020-05,Production,31,31,5,0.8176000720586156,44586,0.755784135950263,347.77730653216867,163.97475440721303,1466.2900000000009,31,25,0.9999999259524207,60.0,60,20,-1440,1440,37400,7240
2020-05,Consumption,31,31,5,0.07872242802636718,44586,0.31680374622256335,1289.7337376574842,612.4086170546809,4696.0,31,23,0.9999605857722302,60.0,60,20,-1440,1440,37400,7240
2020-06,Production,30,30,5,0.7919034801378378,43163,0.7782861557434754,361.6344429247916,183.17394296040592,1389.5799999999974,30,24,0.9999999444161702,60.0,60,19,-1440,1440,35972,7228
2020-06,Consumption,30,30,5,0.10473574288451057,43163,0.24746989010308915,1292.3558918291144,628.8914510112829,4753.427999999998,30,23,0.999966459910413,60.0,60,19,-1440,1440,35972,7228
2020-07,Production,31,31,5,0.782288236039208,44596,0.7542502131464945,344.20216061228865,168.75137232038747,1365.820000000001,31,25,0.9999999404746501,60.0,60,20,-1440,1440,37407,7233
2020-07,Consumption,31,31,5,0.1424365349537829,44596,0.37177069317746697,1200.9132271721437,581.7507108260832,4292.860000000003,31,22,0.9999237055333552,60.0,60,19,-1440,1440,37407,7233
2020-08,Production,31,31,5,0.7638158595719291,44582,0.7280433297033714,306.527568108551,140.89837378314118,1296.3900000000024,31,25,0.9999997581541584,60.0,60,20,-1440,1440,37400,7240
2020-08,Consumption,31,31,5,0.1106706300702208,44582,0.3597751963665402,1160.0950028175857,554.1976044143377,4272.59800000001,31,24,0.9997583697498558,60.0,60,20,-1440,1440,37400,7240
2020-09,Production,30,30,22,0.9999998285068203,43083,0.8924442679152959,209.0288534593366,51.39926723540679,1147.7040000000009,30,22,0.9999998285068203,0.0,0,23,-1440,1440,10070,33130
2020-09,Consumption,30,30,23,0.9998971372790378,43083,0.8160903744684688,748.5122730961242,212.23274588373815,3268.176000000004,30,23,0.9998971372790378,0.0,0,23,-1440,1440,10070,33130
2020-10,Production,31,31,24,0.999999234819514,44568,0.7192223537463054,244.963310638781,57.59405739544068,1483.8,31,24,0.999999234819514,0.0,0,24,-1440,1440,10069,34571
2020-10,Consumption,31,31,24,0.9998217627966809,44568,0.7988753070077023,812.6586911982974,229.51642377939325,4064.4640000000013,31,24,0.9998217627966809,0.0,0,24,-1440,1440,10069,34571
2020-11,Production,30,30,22,0.999997346326917,43124,0.5977590455153208,251.94350025414715,60.26264183903782,1508.493999999993,30,22,0.999997346326917,0.0,0,23,-1440,1440,10073,33127
2020-11,Consumption,30,30,23,0.9999151220270249,43124,0.8129879725623286,821.7548301549775,262.8741148007297,3760.7339999999544,30,23,0.9999151220270249,0.0,0,23,-1440,1440,10073,33127
2020-12,Production,31,31,24,0.9999989112834768,44590,0.47562394818634196,288.02840230158967,69.65786947746133,1630.8,31,24,0.9999989112834768,0.0,0,24,-1440,1440,10069,34571
2020-12,Consumption,31,31,23,0.9999241915610386,44590,0.8278311033995065,863.2920300524336,254.28941242431034,3913.3300000000017,31,23,0.9999241915610386,0.0,0,24,-1440,1440,10069,34571
